Linux 6.8.0-1021-gcp (memcache-server-w3cl) 	05/09/26 	_x86_64_	(4 CPU)

15:40:04      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:40:06      110     10450    0.00    0.00    0.00    0.00    0.00     0  memcached
15:40:08      110     10450    1.00    6.50    0.00    0.00    7.50     0  memcached
15:40:10      110     10450    0.50    3.50    0.00    0.00    4.00     0  memcached
15:40:12      110     10450    3.00   20.00    0.00    0.00   23.00     1  memcached
15:40:14      110     10450    0.50    5.50    0.00    0.00    6.00     1  memcached
15:40:16      110     10450    5.00   36.50    0.00    0.00   41.50     0  memcached
15:40:18      110     10450    1.00    7.00    0.00    0.00    8.00     1  memcached
15:40:20      110     10450    7.50   49.00    0.00    0.00   56.50     1  memcached
15:40:22      110     10450    2.00   15.00    0.00    0.00   17.00     0  memcached
15:40:24      110     10450    7.00   51.00    0.00    0.00   58.00     0  memcached
15:40:26      110     10450    4.00   31.00    0.00    0.00   35.00     1  memcached
15:40:28      110     10450    7.00   51.00    0.00    0.00   58.00     1  memcached
15:40:30      110     10450    6.50   52.00    0.00    0.00   58.50     1  memcached
15:40:32      110     10450    5.50   47.50    0.00    0.00   53.00     1  memcached
15:40:34      110     10450    9.00   76.50    0.00    0.00   85.50     0  memcached
15:40:36      110     10450    5.00   39.50    0.00    0.00   44.50     0  memcached
15:40:38      110     10450   11.00  109.00    0.00    0.00  120.00     0  memcached
Average:      110     10450    4.44   35.32    0.00    0.00   39.76     -  memcached
