Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1778461104457
Timestamp end: 1778462904765

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      247.2   131.8    93.8   160.9   174.4   235.6   262.6   277.3   289.8   303.9   320.4   355.0   453.7  1402.2  7464.9   6922.4     6927
read      325.5   250.0    74.4   131.4   147.2   276.7   349.4   396.5   432.6   474.1   530.6   626.6  1183.3  2941.6  7282.5  52910.3    52892
read      320.1   291.9    80.4   134.5   151.4   266.3   328.8   368.5   398.9   436.9   490.5   589.5  1476.8  3661.0  7733.4  99006.3    98921
read      273.6   122.6    74.4   130.4   145.6   253.8   314.3   346.0   369.3   396.1   429.6   476.6   575.9   789.2  3095.2  61055.7    61129
read      277.2   113.2    80.4   138.4   154.6   269.5   320.2   344.6   362.3   382.4   407.8   448.7   527.8   673.5  2994.4  40610.3    40613
read      270.1   117.0    74.4   129.9   145.0   255.9   311.5   340.4   361.3   385.2   415.4   460.9   549.8   713.5  2722.5  53274.2    53226
read      274.7   105.0    74.4   138.0   154.2   267.9   316.1   340.2   357.3   376.5   401.6   441.0   522.3   676.0  2307.5  38625.6    38560
read      302.5   177.7    74.4   135.3   152.1   266.6   330.4   370.2   399.8   436.3   487.4   576.4   825.4  1799.8  3992.1 103323.3   103465
read      312.5   188.0    74.4   136.8   154.1   272.5   340.0   382.2   414.1   454.0   507.9   610.3   881.6  1863.4  5052.6 104681.5   104758
read      276.4   144.3    74.4   130.1   145.5   250.0   307.0   341.6   367.6   397.7   436.7   500.2   654.8  1309.9  4057.5  94812.6    94759
read      273.8   101.5    80.4   138.2   154.5   267.5   315.2   339.1   356.1   375.1   400.3   436.5   512.6   635.3  1990.0  37883.7    37799
read      235.3    90.3    93.8   159.5   173.7   228.0   250.5   263.8   272.8   285.1   299.6   326.0   393.2   637.7  3665.8   8328.2     8296
read      269.5   127.5    74.4   127.8   142.2   246.8   305.8   340.1   364.7   393.0   428.2   479.7   590.6   916.1  2792.9  69277.7    69443
read      253.7    89.0    86.8   162.6   178.3   248.3   275.1   290.4   300.8   313.9   330.7   357.3   420.5   587.4  3946.6  12535.7    12517
read      276.5   107.3    80.4   135.2   151.4   267.2   319.7   346.8   366.5   388.5   415.2   455.6   538.6   690.9  2280.2  43562.1    43591
read      262.7    84.1    80.4   151.0   168.3   258.9   291.8   310.0   322.6   338.2   357.7   388.0   455.7   593.1  2486.0  20453.6    20430
read      279.2   153.0    74.4   130.5   145.8   251.1   308.7   343.8   370.5   401.5   442.1   506.5   680.3  1613.6  3876.2  93818.9    93758
read      246.6    82.3    86.8   162.0   175.8   240.7   266.6   280.6   290.8   303.1   319.3   344.7   405.0   550.1  3162.3  10500.1    10485
read      269.0    87.4    80.4   158.5   175.7   264.4   296.5   314.5   327.2   342.1   363.1   396.4   472.8   630.4  2317.8  16430.0    16518
read      282.0   187.0    80.4   128.9   143.6   248.9   307.0   340.9   367.4   398.9   440.1   510.5   795.8  2389.7  5381.8  83226.0    83230
read      227.6   108.7    93.8   157.6   168.5   219.8   241.4   253.5   263.3   273.6   289.3   314.3   378.3   833.2  4385.2   5507.9     5484
read      270.9   126.4    74.4   130.2   145.3   255.8   311.9   341.5   362.7   386.9   417.5   463.6   559.5   741.9  3223.3  55579.6    55611
read      267.7    92.0    80.4   154.8   172.3   265.4   297.7   315.0   327.4   341.8   361.1   390.1   458.8   630.9  3308.5  20818.5    20774
read      283.8   156.1    80.4   132.5   148.6   256.3   313.8   346.9   373.6   406.1   449.8   517.2   687.6  1570.5  4337.3  96582.0    96726
read      277.6   104.9    80.4   145.4   162.6   274.7   317.2   339.8   355.2   371.4   393.6   427.3   502.7   636.6  2908.8  32432.9    32442
read      268.6   129.2    74.4   128.2   142.6   246.4   304.3   335.7   359.2   387.3   423.7   479.1   596.4   936.2  3272.9  73126.5    73039
read      268.9   125.2    74.4   128.1   142.6   246.9   304.9   336.4   360.1   388.1   424.5   480.5   603.9   936.4  2825.0  74069.6    74055
read      273.4   115.1    74.4   132.6   148.3   261.1   315.8   344.8   365.0   387.8   416.5   460.7   549.2   700.4  2006.7  51193.1    51197
read      270.9   134.0    74.4   129.5   144.4   253.6   310.4   340.3   362.2   387.5   419.8   468.6   578.7   806.9  3514.8  59367.7    59442
