Random waveform, supplied seed
Total number of intervals = 600 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730, 71079, 108942, 55406, 42279, 21876, 34140, 42897, 18462, 100375, 41347, 101594, 47486, 73393, 51134, 58201, 71020, 72071, 93446, 28724, 59269, 74624, 52368, 9687, 44165, 6895, 55457, 61164, 108384, 33319, 97895, 39720, 68554, 86849, 30264, 100754, 98098, 86028, 93054, 42348, 29490, 18187, 95113, 8570, 62285, 52582, 34260, 59493, 58208, 93458, 18056, 94134, 37808, 53481, 25666, 108853, 41576, 70282, 45769, 92383, 12100, 67747, 68933, 63242, 72993, 51022, 67069, 24895, 68588, 42706, 49479, 64792, 73879, 31893, 74262, 57246, 91617, 55173, 108633, 15720, 99961, 102613, 57169, 56950, 49938, 5383, 39719, 36653, 69482, 46749, 65109, 46501, 109480, 69433, 58157, 70737, 34617, 77563, 90036, 36689, 46832, 104903, 14153, 21674, 5689, 37781, 15507, 102064, 71340, 79815, 44352, 109562, 86219, 47335, 41962, 45802, 13389, 95780, 87844, 55903, 100902, 70988, 53831, 26948, 32347, 41050, 56197, 94617, 71839, 79082, 107630, 60164, 97878, 63680, 73888, 65499, 96906, 103287, 49664, 32535, 46477, 7459, 74137, 57061, 34213, 7432, 41605, 32998, 61636, 64695, 14063, 91302, 6064, 41354, 19863, 19488, 14040, 19538, 20199, 106657, 92457, 92780, 68203, 81753, 57748, 21027, 49680, 82042, 93691, 45291, 30437, 67422, 69956, 35404, 80225, 105585, 20088, 12672, 15696, 25951, 65007, 10189, 78008, 12678, 15922, 41774, 38788, 34559, 54825, 42697, 12669, 70047, 96137, 92934, 20597, 66597, 59987, 58456, 59958, 98221, 55912)
Average QPS expected = 57644
Timestamp start: 1778922410461
Timestamp end: 1778924210910

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      235.6   159.2    93.8   156.0   168.1   224.6   249.7   264.0   273.4   286.8   303.3   329.0   400.3  1163.5  9862.5   6761.3     6927
read      275.4   120.1    74.4   130.4   145.2   256.3   314.7   345.1   369.6   397.9   433.2   485.0   591.2   911.2  1899.4  52738.3    52892
read      284.1   210.8    68.9   128.6   142.8   234.9   290.7   322.6   349.2   386.8   442.9   582.8  1100.2  2438.6  4008.2  98740.7    98921
read      258.9   105.3    74.4   129.8   144.4   242.3   300.1   327.7   345.9   368.5   395.7   433.7   509.0   636.1  1655.7  61332.3    61129
read      272.3    99.5    80.4   139.1   154.5   266.8   315.7   338.4   354.4   372.7   397.6   433.1   511.9   697.1  1863.4  40538.7    40613
read      272.0   116.5    74.4   129.5   144.0   253.2   312.7   343.3   366.7   394.8   428.4   477.1   582.0   805.3  1747.9  53062.7    53226
read      277.8   124.4    80.4   138.2   153.7   268.5   318.7   343.7   362.8   384.8   411.6   452.8   540.8  1135.5  3629.2  38405.3    38560
read      266.0   187.0    74.4   129.5   144.0   234.1   285.3   313.4   334.1   359.5   393.7   450.4   791.8  2821.3  3878.4 103488.0   103465
read      250.9   107.3    74.4   128.7   143.1   230.7   280.5   308.0   327.4   350.5   382.8   430.8   546.1   906.4  2096.9 105082.7   104758
read      246.9   113.7    74.4   125.3   139.5   225.3   276.8   305.7   325.6   349.0   381.1   426.9   527.7   871.1  3322.1  94639.3    94759
read      272.0   103.2    80.4   140.8   156.5   267.7   314.0   335.2   349.4   367.6   390.3   425.0   505.7   915.1  2432.0  37791.0    37799
read      232.6    70.3   101.3   154.6   167.7   225.8   251.2   265.4   274.3   286.3   299.6   321.5   374.6   806.7  3051.3   8369.3     8296
read      274.1   140.8    74.4   126.3   140.2   243.3   307.4   343.2   371.7   407.5   452.4   514.5   671.8   983.2  4156.6  69419.3    69443
read      257.7   131.7    93.8   158.3   172.7   247.4   277.5   292.8   303.9   316.4   334.5   365.8   518.5  1583.2  5247.1  12374.7    12517
read      277.9   148.5    74.4   133.7   149.0   260.5   315.9   343.3   364.8   389.5   418.9   463.2   584.1  2005.0  3371.3  43599.3    43591
read      272.7   124.5    86.8   153.8   169.4   266.6   301.7   318.7   331.8   345.6   366.3   397.3   494.2  1880.7  3082.1  20446.0    20430
read      268.8   236.2    68.9   126.3   140.5   230.8   284.3   313.4   334.8   361.2   396.5   459.1   885.4  3264.9  7571.7  93531.0    93758
read      243.2    70.2    93.8   157.3   170.9   236.6   265.5   279.0   289.4   301.0   316.6   341.4   403.6   651.2  2012.9  10529.3    10485
read      267.9   110.8    80.4   156.9   173.5   263.2   296.0   312.5   323.6   338.0   356.5   387.9   464.8  1263.9  2999.4  16574.0    16518
read      304.1   252.9    74.4   125.9   140.2   241.9   307.0   351.5   392.3   445.8   516.7   653.1  1211.7  2996.0  6467.1  83295.0    83230
read      218.1   112.4   101.3   150.3   160.7   208.2   228.8   240.5   250.3   261.7   274.5   297.8   372.8  1324.9  6145.4   5532.3     5484
read      274.9   171.4    74.4   126.3   140.2   249.1   308.0   339.6   363.9   392.9   428.6   482.5   633.2  2495.2  4042.5  55466.7    55611
read      254.9    94.4    80.4   145.1   160.6   250.5   285.6   302.4   314.2   328.0   344.7   372.7   440.2  1216.4  2557.4  20882.7    20774
read      357.5   416.3    74.4   128.1   143.3   247.0   311.8   360.1   408.0   484.5   613.7   941.5  2315.2  4370.4  7909.0  96838.3    96726
read      267.0    93.1    80.4   141.0   156.6   264.9   306.3   325.7   339.9   357.1   378.5   413.2   488.1   670.8  1575.3  32316.0    32442
read      275.8   161.5    74.4   124.3   138.2   239.8   303.7   340.8   372.3   409.7   458.9   531.9   732.9  1782.9  4139.6  73039.3    73039
read      276.9   143.1    74.4   126.0   139.9   241.1   305.7   343.7   376.5   417.0   466.8   541.0   731.3  1072.5  1814.0  73843.7    74055
read      272.1   153.4    80.4   127.6   141.8   250.3   307.9   338.1   360.7   387.4   420.9   468.8   592.0  1955.5  3834.0  51006.3    51197
read      266.3   140.1    74.4   122.1   135.8   241.4   301.7   333.9   358.4   388.6   425.5   476.5   603.5  1750.5  2832.4  59288.7    59442
read      281.1   144.0    80.4   141.0   156.2   270.8   319.6   343.7   361.9   382.8   408.5   446.6   543.0  1964.9  3885.8  35653.3    35654
read      293.1   237.0    74.4   123.6   137.9   240.6   308.1   351.1   388.1   431.7   488.2   578.8  1003.0  3198.2  7247.8  78833.7    78747
read      275.8   138.8    80.4   134.2   149.5   260.8   314.9   341.6   361.8   385.1   413.0   455.1   555.9  1902.4  2933.6  42234.3    42212
read      271.0   145.2    74.4   127.4   141.2   248.6   309.2   339.4   362.0   388.3   420.1   464.6   586.9  1876.3  3399.0  52689.0    52488
read      270.7   124.3    74.4   136.1   151.0   260.4   310.1   334.1   350.5   370.3   396.0   433.1   528.6  1651.0  2756.2  37185.7    36950
read      252.0    89.1    86.8   150.3   165.2   247.1   279.7   294.4   305.5   317.4   334.4   360.9   431.4  1423.0  2287.7  16672.3    16762
