Random waveform, supplied seed
Total number of intervals = 450 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730, 71079, 108942, 55406, 42279, 21876, 34140, 42897, 18462, 100375, 41347, 101594, 47486, 73393, 51134, 58201, 71020, 72071, 93446, 28724, 59269, 74624, 52368, 9687, 44165, 6895, 55457, 61164, 108384, 33319, 97895, 39720, 68554, 86849, 30264, 100754, 98098, 86028, 93054, 42348, 29490, 18187, 95113, 8570, 62285, 52582, 34260, 59493, 58208, 93458, 18056)
Average QPS expected = 58024
Timestamp start: 1778920557416
Timestamp end: 1778922357810

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      229.3   115.9   101.3   154.9   166.8   221.3   243.9   257.8   267.3   277.8   292.8   316.2   382.3   826.2  6103.9   6866.0     6927
read      271.7   114.0    74.4   129.4   144.2   254.4   312.8   343.0   366.1   393.1   426.6   473.7   571.7   833.6  1326.3  52920.2    52892
read      272.8   166.2    68.9   127.5   141.8   234.7   290.7   321.8   346.5   380.0   429.9   534.0   869.9  1729.4  3587.6  98829.0    98921
read      260.1   102.0    68.9   128.6   143.4   244.3   302.0   329.0   347.3   370.0   398.1   438.0   524.1   674.4  1300.2  60943.0    61129
read      271.8   118.9    80.4   136.9   152.3   264.7   313.1   336.7   353.5   373.2   398.9   435.9   518.6   830.6  2435.8  40392.0    40613
read      271.6   112.5    80.4   130.3   145.2   253.7   313.6   343.6   366.4   393.4   426.3   471.6   564.4   726.6  1274.3  53228.2    53226
read      275.7   101.4    74.4   138.6   154.0   268.8   319.5   343.8   362.4   383.5   408.5   447.2   522.3   741.6  1489.2  38757.8    38560
read      263.2   159.6    68.9   128.3   143.1   235.3   288.4   316.4   337.1   362.8   396.8   454.9   729.1  1966.9  3692.0 103376.5   103465
read      256.1   106.7    74.4   129.2   143.9   235.8   288.8   316.6   336.7   360.8   392.3   439.7   554.5   869.4  1603.7 104709.5   104758
read      253.6   117.0    74.4   126.6   141.0   232.3   286.0   314.3   334.5   358.8   390.9   437.3   550.0   975.5  2635.9  94690.8    94759
read      272.9   104.3    74.4   139.1   154.8   268.4   315.9   338.5   354.6   372.9   397.2   431.8   505.1   655.9  2908.6  37845.5    37799
read      236.6    72.0    93.8   157.3   169.7   229.3   256.3   269.9   279.5   290.9   305.6   329.0   395.7   798.2  2024.6   8310.5     8296
read      275.4   132.7    74.4   127.1   141.3   245.6   308.5   344.4   374.4   410.0   454.6   519.4   664.4  1022.8  1963.6  69485.0    69443
read      259.8   155.5    93.8   157.8   172.6   246.2   277.3   292.9   304.1   316.6   334.6   364.7   570.6  2140.5  6338.2  12568.5    12517
read      279.5   162.4    80.4   133.5   148.9   260.7   316.4   344.3   365.2   389.6   420.0   464.3   580.4  2331.4  4681.7  43833.0    43591
read      264.3   103.1    86.8   150.3   165.4   260.3   295.8   313.1   324.9   339.2   358.0   388.1   464.3  1587.6  2863.4  20418.2    20430
read      353.8   416.9    74.4   128.2   143.4   248.2   314.5   366.3   417.2   489.8   602.0   871.8  2131.3  5263.3  8042.3  93954.2    93758
read      237.6   130.7    93.8   151.7   164.2   226.6   253.9   268.6   278.6   290.6   305.9   331.2   420.4  1772.1  4729.2  10425.5    10485
read      256.7   111.2    80.4   152.2   167.2   250.7   283.5   299.1   310.5   322.2   340.1   368.6   445.1  1456.1  3906.3  16610.2    16518
read      296.7   246.3    74.4   124.0   138.4   238.4   305.9   349.7   388.5   437.0   501.3   612.0  1074.4  3125.0  7516.2  83129.0    83230
read      215.5    93.2   101.3   147.6   157.5   205.4   225.9   236.9   247.0   258.1   272.4   294.9   380.5  1444.4  3187.9   5462.8     5484
read      273.4   141.4    74.4   125.9   140.3   249.0   310.7   343.2   368.4   397.3   432.5   483.6   629.8  1559.4  2809.2  55268.5    55611
read      259.1    84.3    80.4   148.4   163.6   257.0   292.0   308.9   319.9   334.5   352.1   383.3   445.2   828.8  2456.6  20747.2    20774
read      283.1   252.7    74.4   128.7   143.7   240.0   295.4   325.1   347.2   375.4   414.2   485.0  1326.9  3393.7  7329.9  96636.5    96726
read      274.5    99.7    74.4   144.4   160.6   273.3   315.8   336.4   350.5   367.9   390.3   423.6   493.9   692.7  2272.0  32366.8    32442
read      284.9   185.2    80.4   126.7   141.1   245.6   310.7   349.1   381.8   421.9   471.6   545.7   765.6  2211.5  5557.6  73146.0    73039
