Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778940805079
Timestamp end: 1778942605451

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      244.3    83.6    93.8   164.6   178.0   239.2   262.7   274.8   285.0   295.3   311.4   336.6   397.2   672.9  3652.6   6840.6     6927
read      269.6   103.7    74.4   137.2   152.6   258.9   312.2   338.2   356.6   377.4   401.5   436.2   507.4   634.6  2656.4  52706.0    52892
read      247.5    99.9    74.4   127.4   140.8   227.4   278.0   306.4   327.0   351.8   383.6   428.1   520.9   769.6  1327.1  98914.8    98921
read      260.7   102.1    74.4   130.3   144.9   245.6   301.8   330.1   349.8   372.6   400.2   435.6   506.9   635.7  1294.7  60910.4    61129
read      280.0   129.2    80.4   140.4   156.2   270.2   319.3   344.8   364.6   386.5   412.4   452.0   545.9  1139.0  5287.5  40554.6    40613
read      280.5   125.6    74.4   133.2   148.6   259.7   318.5   353.2   378.1   406.6   442.1   495.3   611.5  1008.4  2695.1  53178.6    53226
read      281.2   115.3    80.4   141.3   156.9   271.6   322.2   349.5   369.9   392.1   418.3   456.3   542.1  1020.0  2280.3  38505.8    38560
read      257.1   150.3    74.4   128.6   142.6   231.0   281.4   309.9   330.9   356.6   390.3   441.4   620.8  1963.5  3685.2 103757.4   103465
read      251.7   117.6    74.4   129.2   143.2   230.7   280.9   309.0   329.3   353.9   385.8   431.9   544.9   923.2  2598.6 104722.4   104758
read      249.7   106.3    74.4   127.0   140.8   228.5   280.3   308.9   329.7   354.7   387.0   432.7   538.9   876.9  2026.8  94785.4    94759
read      276.1    99.2    80.4   142.3   158.0   271.0   317.7   341.4   359.1   379.1   402.1   436.8   513.8   673.4  1520.3  37676.8    37799
read      238.9    78.1    93.8   156.0   169.5   233.6   258.7   271.5   281.3   292.6   308.4   333.6   397.6   801.2  3329.0   8253.8     8296
read      309.6   284.0    74.4   128.6   142.8   251.9   318.3   361.6   394.8   434.8   491.3   610.4  1290.8  3709.5  7885.3  69154.6    69443
read      248.3    95.0    86.8   154.3   168.6   242.8   270.5   285.0   294.7   307.5   321.9   347.8   428.0  1376.6  2557.4  12530.8    12517
read      292.7   206.5    74.4   137.9   152.9   266.7   322.5   353.9   375.7   400.1   430.5   477.9   791.7  2850.6  7153.9  43589.0    43591
read      265.3   105.0    86.8   149.9   165.2   260.8   294.4   311.9   323.9   339.6   360.1   392.0   475.7  1410.3  2713.6  20478.4    20430
read      277.5   222.7    74.4   128.2   142.4   234.4   289.7   320.7   345.2   376.9   419.7   506.0  1031.4  2987.4  6772.3  93960.6    93758
read      246.6    85.6   101.3   156.5   171.0   242.6   268.9   282.8   292.7   304.8   319.3   345.4   412.1   707.6  3123.4  10541.6    10485
read      257.2   105.1    74.4   152.3   167.1   252.8   283.9   299.1   310.9   323.4   341.6   371.1   448.5  1299.6  2765.9  16549.6    16518
read      318.5   319.0    74.4   127.9   142.1   247.4   315.5   364.4   404.9   458.8   530.6   676.0  1409.7  4042.1  8000.4  83161.4    83230
read      221.1   113.2    93.8   150.2   159.7   210.4   233.5   246.9   255.8   267.2   281.1   305.2   390.5  1433.1  4278.3   5461.6     5484
read      274.3   156.7    74.4   127.2   141.2   249.7   309.1   342.4   367.7   395.6   429.3   478.5   635.1  1990.6  3275.1  55335.2    55611
read      264.3   128.1    80.4   149.3   164.5   260.0   294.2   311.5   323.1   338.6   358.4   388.8   464.9  1300.7  4164.2  20863.4    20774
read      278.4   270.9    74.4   128.6   142.7   235.0   288.1   317.8   340.7   368.6   404.4   468.0  1162.8  3496.4  7801.3  96683.4    96726
read      273.2    96.3    74.4   143.6   159.8   270.5   312.4   333.7   348.4   367.0   390.5   425.6   498.1   699.6  2428.9  32403.0    32442
read      283.1   212.7    68.9   123.3   137.1   240.8   305.4   345.3   377.4   415.2   462.5   536.7   818.0  2838.2  7176.8  73015.4    73039
read      279.2   205.0    74.4   123.0   136.9   238.4   302.9   342.2   373.5   409.6   455.4   525.6   786.2  2902.5  4875.9  73995.8    74055
read      282.0   157.3    74.4   131.4   146.3   259.5   318.6   351.6   376.4   403.0   436.0   486.9   633.9  1957.1  4117.7  51452.2    51197
read      277.7   168.5    74.4   127.1   141.1   249.4   311.0   346.1   373.0   402.4   438.1   493.5   666.4  2211.1  4439.9  59579.0    59442
read      270.9   123.7    74.4   136.8   151.9   261.4   308.6   332.9   350.4   371.5   396.6   432.0   526.5  1378.9  2842.2  35655.8    35654
read      288.3   224.2    74.4   123.7   137.8   239.1   304.8   347.2   383.1   425.1   477.3   563.8   920.9  2993.1  5783.5  78576.2    78747
read      278.3   145.6    74.4   134.7   149.9   263.1   316.6   344.8   365.5   388.6   416.4   457.2   558.7  2038.3  3544.9  42122.8    42212
read      273.4   167.5    74.4   127.4   141.4   250.2   308.0   340.0   363.8   390.1   421.2   466.4   593.6  2288.0  4309.7  52689.8    52488
read      275.8   134.9    80.4   138.1   153.2   265.0   313.7   339.4   358.1   378.9   402.9   440.2   535.1  1688.5  2942.4  36818.6    36950
read      254.5    99.9    86.8   151.4   165.8   250.5   281.4   296.4   308.0   319.8   338.0   366.4   435.2  1172.8  2888.9  16811.6    16762
read      306.5   345.2    74.4   127.5   141.3   244.2   310.8   354.9   391.3   434.5   492.6   592.2  1145.7  5168.7  9908.5  79793.8    79473
read      293.8   226.9    74.4   128.6   142.9   252.7   316.7   357.6   387.9   421.8   465.0   536.2   929.1  3131.5  7621.1  61184.6    61431
read      340.9   339.4    80.4   131.4   146.8   254.0   322.8   374.8   421.9   486.2   588.1   808.2  1701.2  3730.7  7873.6  87249.8    87172
read      274.2   225.4    74.4   131.7   146.7   240.5   291.7   320.1   342.5   369.5   404.1   465.6   794.6  3300.4  7702.1 108141.8   108181
read      252.7   104.3    74.4   127.1   140.9   232.0   286.4   315.6   337.1   362.7   394.7   438.2   535.3   774.7  1325.5  80485.6    80515
read      277.6   127.8    86.8   140.9   156.5   268.7   316.0   340.2   358.0   378.2   402.1   440.1   534.6  1531.7  3417.8  37076.6    37149
read      247.8   103.6    93.8   152.4   166.6   242.3   270.9   286.0   295.9   309.2   324.5   350.2   424.1  1269.9  3843.1  13515.4    13444
read      291.3   197.5    74.4   126.3   140.3   245.6   312.8   356.7   391.2   430.3   482.1   572.1   930.0  2237.5  4073.3  71958.0    72057
read      285.3   196.4    74.4   125.1   139.2   244.4   310.2   351.4   383.3   420.5   465.6   537.7   849.7  2341.6  4747.3  70112.8    70041
read      309.6   296.5    74.4   125.9   139.9   238.7   304.4   351.5   394.1   448.3   524.4   677.2  1282.5  4108.6  7663.2  89994.6    90162
read      278.5   160.9    74.4   129.2   143.9   255.5   313.9   347.3   372.1   399.4   432.1   482.0   622.8  2221.7  3893.2  52200.6    52082
read      264.9   100.4    80.4   145.5   161.1   261.5   298.3   316.5   330.3   345.7   367.5   398.3   474.1  1190.3  2374.1  24310.4    24258
read      287.0   214.8    74.4   125.3   139.4   243.9   308.9   350.2   382.2   418.5   464.5   540.6   872.9  3032.6  4755.4  71800.4    72013
read      292.4   182.4    80.4   131.9   146.8   260.0   324.7   363.6   390.9   422.7   463.2   527.2   765.7  2530.1  4404.6  57917.0    58012
read      279.5   143.8    74.4   133.8   149.2   261.1   316.7   347.0   369.5   394.6   424.6   467.9   589.1  1882.4  3544.4  45386.2    45398
read      283.4   159.6    80.4   132.2   147.3   260.1   318.8   352.7   377.3   403.0   435.3   486.2   652.4  2016.2  3768.2  50231.6    50177
read      277.7   135.2    80.4   141.0   156.2   267.4   315.0   340.1   358.4   379.0   403.0   438.9   532.4  1620.2  3095.5  34568.0    34504
read      282.8   177.8    74.4   126.0   140.1   247.0   311.6   351.3   381.4   414.8   457.1   523.6   800.0  2032.0  3997.7  65959.4    66010
read      293.2   242.9    74.4   125.1   139.2   242.0   307.6   350.0   383.8   423.5   473.2   566.3  1075.2  3207.8  7339.6  73750.4    73937
read      279.6   146.4    74.4   129.6   144.2   254.8   315.5   350.0   376.1   404.7   440.3   495.1   665.6  1607.5  3285.7  55027.0    55020
read      272.8   146.3    74.4   128.0   142.0   250.0   309.0   341.3   365.4   392.7   425.4   471.9   609.7  1895.5  3423.9  53441.0    53235
read      266.5   183.1    74.4   128.9   143.0   232.8   286.2   316.2   339.5   367.7   403.3   464.6   804.2  2346.1  5740.3  98026.4    97743
read      227.1   128.4    93.8   152.6   164.2   216.6   240.2   252.6   262.1   272.5   288.0   312.7   390.3  1715.9  6295.1   5387.4     5419
