Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778885375790
Timestamp end: 1778886576079

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      230.1    76.4    86.8   156.4   168.7   223.2   246.1   259.5   269.7   281.7   295.6   318.3   372.6   809.0  2293.9   6930.3     6927
read      257.3   101.9    74.4   127.8   142.5   246.0   300.4   325.1   342.1   361.4   385.4   422.9   497.9   632.2  2128.1  52876.1    52892
read      246.5   105.4    68.9   123.9   138.1   225.5   278.4   307.7   327.5   350.4   379.3   426.0   540.8   878.4  1688.4  98960.9    98921
read      252.1   104.3    74.4   124.1   138.4   235.9   292.9   320.1   338.3   358.6   384.0   424.3   506.6   673.9  2435.7  61193.7    61129
read      267.2   100.0    74.4   134.2   150.3   260.7   310.6   333.7   349.2   367.5   391.7   427.9   503.2   666.4  2014.2  40631.3    40613
read      259.8   104.9    74.4   128.6   143.3   246.9   304.0   330.0   346.9   366.5   391.6   428.6   502.7   657.2  2295.0  53255.6    53226
read      271.8   103.6    74.4   136.0   151.9   265.9   315.6   339.3   355.6   373.1   398.9   434.9   510.4   724.9  2391.9  38598.5    38560
read      249.2   109.0    74.4   127.1   140.9   227.8   280.0   309.6   330.0   353.2   382.2   428.2   539.6   893.2  2403.9 103356.1   103465
read      253.3   111.8    74.4   129.0   143.2   231.9   284.3   313.5   334.2   358.0   387.9   433.9   551.6   922.4  2261.4 104698.2   104758
read      247.2   106.4    68.9   124.8   138.7   225.8   279.4   309.4   330.0   353.2   382.1   427.4   531.7   853.6  1914.1  94885.2    94759
read      276.1   150.2    74.4   137.3   153.0   266.5   316.3   340.1   356.6   374.5   401.1   438.3   535.7  1472.1  7381.7  37845.2    37799
read      232.1   139.5    86.8   152.7   164.5   220.4   243.9   257.6   268.9   281.5   295.9   320.3   399.1  1871.6  6290.5   8283.9     8296
read      253.5   115.1    74.4   124.4   138.6   232.7   292.2   321.8   341.5   363.6   391.6   433.0   527.3   936.2  2955.6  69351.8    69443
read      243.3    94.5    80.4   152.5   166.3   235.6   265.2   281.5   292.0   304.6   319.7   345.0   412.6  1092.8  2744.9  12510.0    12517
read      265.0   108.5    74.4   131.0   146.2   253.7   307.1   331.3   347.6   367.1   393.2   432.6   533.2   962.0  2336.9  43667.1    43591
read      262.9    98.1    80.4   149.9   165.5   257.7   294.6   312.4   324.5   339.2   357.7   386.8   459.9  1128.6  2507.8  20441.7    20430
read      251.9   126.8    74.4   125.4   139.4   227.9   282.8   313.0   333.7   357.2   387.2   434.1   570.7  1291.7  3495.6  93625.7    93758
read      240.1   122.4    93.8   154.3   167.4   230.9   257.4   273.1   284.2   295.6   311.8   336.5   400.6  1616.1  6796.4  10468.4    10485
read      261.9   125.5    80.4   154.5   169.9   254.3   288.6   305.0   316.2   330.0   345.9   372.9   452.7  1587.5  4261.3  16556.8    16518
read      248.9   124.6    74.4   123.0   136.8   226.1   282.4   312.4   332.7   355.4   384.0   429.8   548.1  1096.3  3441.6  83136.5    83230
read      218.8   107.3    86.8   150.9   161.6   208.8   229.7   241.9   251.0   263.2   278.9   303.4   371.5  1299.7  3974.8   5498.4     5484
read      259.4   114.2    74.4   127.6   141.7   242.8   301.5   328.9   346.9   367.4   394.0   433.6   527.7   850.2  2753.9  55563.5    55611
