Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778892408423
Timestamp end: 1778893608713

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      228.9    76.3    86.8   153.4   165.6   223.6   245.8   257.9   267.3   277.5   292.7   316.5   377.4   904.0  3099.4   6885.2     6927
read      275.1   121.7    68.9   128.5   143.3   257.7   316.8   350.5   373.6   399.1   431.1   481.7   583.4   866.4  2662.7  52816.8    52892
read      248.4   116.0    68.9   125.3   139.4   227.5   278.4   307.1   326.8   350.7   380.6   425.6   546.2  1050.5  2517.1  98937.6    98921
read      256.2   106.5    68.9   126.9   141.3   241.9   298.1   324.6   344.1   365.9   391.1   425.7   499.7   640.3  1990.9  61134.9    61129
read      272.5   111.5    74.4   132.5   148.5   264.0   314.4   341.7   360.9   381.8   406.3   446.6   538.3   769.7  1886.9  40613.7    40613
read      271.0   123.5    74.4   125.2   139.9   253.5   310.9   343.4   367.2   393.4   426.4   479.4   589.3   893.4  2826.6  53159.9    53226
read      275.3   115.9    74.4   134.2   150.3   266.9   317.8   345.9   364.7   385.4   409.5   448.7   535.9   792.8  2751.9  38623.8    38560
read      252.6   119.9    68.9   127.2   141.4   231.5   282.1   310.0   330.0   354.2   384.8   431.6   567.2  1139.5  3126.8 103411.7   103465
read      251.8   111.2    74.4   127.6   141.9   231.8   282.1   309.8   329.4   353.1   382.9   429.0   556.5  1003.0  2459.5 104690.3   104758
read      248.3   106.1    68.9   125.0   139.3   228.9   280.6   308.5   327.9   351.3   380.8   425.4   538.4   855.0  1959.6  94836.7    94759
read      279.2   146.1    74.4   136.0   151.7   268.3   318.2   345.3   364.1   384.7   408.8   448.8   550.5  1810.9  4179.0  37809.2    37799
read      230.6   153.9    86.8   149.4   161.0   218.9   241.8   254.2   264.2   274.5   290.5   315.9   401.8  2225.4  7473.3   8300.5     8296
read      293.7   231.1    74.4   124.0   138.4   249.9   315.5   357.0   388.3   427.1   481.4   565.1   911.9  3320.9  7017.8  69335.8    69443
read      242.1    99.0    86.8   150.8   164.7   236.6   263.3   277.3   288.3   300.1   316.0   342.9   403.9  1122.0  3963.7  12525.4    12517
read      276.2   153.4    74.4   129.2   143.9   259.6   313.6   343.9   365.5   389.3   418.3   463.6   581.1  2059.0  3972.9  43480.4    43591
read      260.9   109.4    80.4   146.0   162.1   255.3   289.6   307.6   319.2   336.2   357.0   387.3   462.0  1426.5  2969.6  20449.3    20430
read      251.4   125.9    74.4   124.5   138.9   229.4   281.3   309.3   329.0   353.1   383.9   431.4   582.9  1244.3  3522.8  93737.6    93758
read      243.1   168.3    74.4   152.9   166.5   234.2   259.6   273.4   284.3   295.8   312.4   340.0   406.4  1696.3  8081.3  10447.9    10485
read      259.3   101.8    86.8   153.0   168.5   254.1   284.7   300.6   312.3   325.7   344.9   373.2   450.0  1394.8  3151.8  16461.1    16518
read      253.9   133.4    68.9   124.6   138.8   230.7   285.3   314.7   336.2   361.6   392.0   435.0   566.4  1368.0  3896.6  83151.3    83230
read      216.8    80.2   101.3   148.8   159.1   209.1   230.9   242.8   251.2   262.2   275.2   299.1   367.8  1033.6  3179.6   5479.7     5484
read      282.8   174.3    74.4   126.9   141.1   255.5   317.6   354.5   379.8   407.6   443.7   501.2   673.5  2407.0  4212.5  55620.4    55611
read      266.3   104.3    80.4   150.4   165.9   262.5   296.5   314.0   326.6   342.6   362.7   391.6   461.2  1319.6  3109.8  20726.7    20774
read      257.4   149.2    68.9   127.7   141.7   232.3   284.9   313.7   334.9   360.0   391.2   437.7   598.0  1761.6  4363.3  96616.3    96726
read      278.6   124.9    80.4   141.3   157.0   270.8   316.2   341.3   359.0   378.0   400.7   436.0   538.0  1426.6  2766.0  32446.5    32442
read      277.3   202.5    68.9   125.0   139.3   241.2   303.1   337.4   363.4   393.4   432.5   507.0   754.3  2919.6  5258.8  72941.1    73039
