Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778890029838
Timestamp end: 1778891230131

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      230.5    85.2    86.8   154.4   167.0   223.7   247.8   261.5   270.7   282.0   295.6   319.1   374.4   785.0  3819.9   6892.4     6927
read      271.8   117.8    74.4   128.4   142.5   255.4   313.8   344.1   368.3   395.5   427.8   474.0   578.4   805.0  2033.7  52902.9    52892
read      244.2   110.1    74.4   124.7   138.3   222.1   273.7   302.7   322.3   345.0   374.2   420.1   534.8  1043.7  2445.9  98761.8    98921
read      253.8    98.7    74.4   127.1   140.9   238.1   295.6   323.2   340.7   361.7   387.6   424.2   496.5   626.9  1304.2  61183.6    61129
read      271.5   108.1    80.4   133.8   149.3   263.1   314.7   339.9   358.8   380.8   406.0   443.3   527.9   754.3  2530.7  40687.5    40613
read      269.9   122.3    68.9   127.4   141.3   252.2   311.1   341.6   365.5   392.8   425.2   471.1   577.8   837.3  2882.5  53274.5    53226
read      272.1   104.6    74.4   134.6   150.1   265.0   315.0   339.9   358.6   380.4   405.4   441.8   526.1   703.4  2208.7  38497.5    38560
read      244.3   115.0    74.4   125.1   138.8   222.7   273.2   301.3   320.6   343.2   372.6   418.3   536.4  1070.2  3191.5 103511.9   103465
read      243.3   109.7    74.4   125.2   138.9   223.0   272.6   300.1   319.5   341.7   370.4   415.1   527.6   906.8  2919.0 104879.9   104758
read      241.2   101.9    74.4   123.3   136.7   220.5   272.5   301.4   320.7   342.8   371.5   414.6   510.2   756.0  1940.1  94688.4    94759
read      272.3   132.4    74.4   133.8   149.3   262.5   311.1   335.7   353.5   375.6   401.8   441.4   542.4  1482.5  3183.6  37785.9    37799
read      229.1   127.1    93.8   149.6   161.5   217.7   242.8   257.1   266.8   277.3   293.1   317.6   391.2  1894.1  5015.5   8329.9     8296
read      279.8   201.3    74.4   121.1   134.5   239.4   306.1   343.2   373.8   410.7   458.1   535.9   813.0  2677.1  5635.0  69358.2    69443
