Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778895806524
Timestamp end: 1778897006812

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      235.0    85.9    93.8   157.0   169.6   229.0   252.2   265.4   274.0   286.0   299.6   324.3   385.2   940.8  3317.8   6891.7     6927
read      274.2   126.3    74.4   129.9   144.2   254.3   313.6   347.9   371.5   397.4   429.4   481.9   587.2   930.0  3122.3  52895.4    52892
read      244.7   126.9    74.4   125.5   138.8   220.4   270.0   298.9   319.7   345.7   377.0   423.5   543.0  1350.6  3394.1  98813.3    98921
read      254.6   113.5    74.4   128.4   142.1   237.4   293.4   321.2   341.6   363.8   389.3   424.4   497.5   662.8  3343.2  61137.5    61129
read      274.7   118.2    74.4   137.4   152.6   264.5   316.7   344.3   363.1   383.6   407.3   445.1   530.1   845.5  3595.9  40571.1    40613
read      273.5   139.1    74.4   129.4   143.6   252.3   312.1   346.1   369.7   395.8   428.3   480.6   592.9  1011.5  4041.5  53195.4    53226
read      274.9   112.4    80.4   137.7   152.9   265.3   316.9   344.4   363.0   383.2   406.6   444.6   530.6   760.6  3067.8  38576.1    38560
read      245.2   136.8    74.4   126.2   139.5   220.7   269.2   297.3   317.9   343.3   374.5   422.4   549.0  1496.3  3685.0 103362.5   103465
read      243.1   106.5    74.4   126.9   140.2   221.6   269.1   297.1   317.8   343.0   373.9   420.7   529.9   908.8  2407.1 104689.9   104758
read      241.9   105.9    74.4   125.0   138.3   219.8   269.8   298.9   319.9   345.7   376.4   420.4   514.7   775.0  2544.7  94814.3    94759
read      277.2   135.0    74.4   138.3   153.4   265.9   316.1   343.2   361.7   381.9   405.5   445.4   545.2  1514.0  3367.3  37958.1    37799
read      232.7   118.3    86.8   151.5   163.3   223.2   246.2   259.3   269.1   280.7   295.6   321.1   402.8  1855.0  3811.2   8302.1     8296
read      281.4   197.3    74.4   123.9   137.6   242.3   306.8   346.3   376.1   412.4   461.2   534.2   779.9  2572.5  5694.5  69266.8    69443
read      240.3    93.9    86.8   150.5   163.9   234.4   261.9   275.6   286.6   297.6   314.8   341.3   401.7  1075.3  3141.5  12524.3    12517
read      273.3   151.5    74.4   129.9   144.4   255.3   310.0   340.4   361.7   385.1   413.2   457.6   569.4  2153.7  3630.3  43668.7    43591
read      260.4   102.4    86.8   148.4   163.5   255.2   289.2   307.4   319.8   336.7   356.8   385.6   456.0  1257.5  2866.9  20452.2    20430
read      343.6   381.0    74.4   129.2   144.2   247.4   311.7   358.5   401.2   471.5   587.8   856.8  1934.9  4497.7  7964.1  93949.1    93758
read      250.8   135.8    86.8   161.4   175.3   242.3   268.7   282.8   292.6   305.3   320.5   348.5   416.1  1551.6  7328.7  10478.7    10485
read      257.3   107.4    86.8   152.4   167.4   251.1   282.1   297.9   310.6   324.4   343.6   371.8   438.7  1383.5  3149.8  16502.3    16518
read      301.9   285.9    68.9   125.2   139.0   239.5   305.0   349.5   386.6   435.9   505.4   619.0  1172.1  4036.3  7596.1  83254.1    83230
read      219.5   112.3    86.8   149.0   159.3   211.1   232.3   244.5   253.1   264.6   278.4   303.2   377.7  1178.1  5445.2   5486.3     5484
read      273.7   170.6    74.4   124.4   138.3   246.6   306.0   340.8   365.9   394.4   430.4   487.9   640.8  2258.4  4386.2  55556.4    55611
read      256.4    95.4    80.4   145.0   160.8   251.2   286.0   304.0   316.6   333.0   353.4   382.9   450.6  1015.4  2508.2  20766.5    20774
read      255.4   180.2    74.4   123.5   137.1   221.8   272.7   302.4   323.9   351.4   387.5   453.6   792.1  2418.3  4788.4  96691.1    96726
read      271.6   117.5    80.4   139.1   154.3   262.2   307.7   332.4   349.9   369.4   393.8   429.9   524.8  1412.3  2921.7  32434.7    32442
read      290.0   239.9    74.4   123.5   137.2   240.5   306.5   348.4   381.2   421.6   476.9   563.1   975.8  3157.2  7178.0  73075.3    73039
read      284.0   214.8    74.4   122.5   136.0   237.7   303.0   343.4   374.5   415.3   470.9   555.1   927.4  2734.7  6176.2  74017.2    74055
read      274.3   163.6    74.4   126.5   140.5   250.6   307.9   341.2   364.9   391.6   425.2   477.1   614.1  2308.3  4143.4  51217.3    51197
read      274.8   184.3    74.4   123.4   137.1   244.0   304.2   339.8   366.1   396.3   434.3   497.2   681.5  2505.7  5428.1  59547.1    59442
read      271.8   137.2    74.4   135.5   150.6   260.2   308.4   334.4   352.7   372.3   396.5   432.6   533.5  1814.6  3807.6  35751.5    35654
read      291.3   253.6    74.4   124.3   138.0   238.8   305.1   347.1   380.5   423.1   481.4   569.4   980.6  3632.2  7170.4  78788.3    78747
read      278.4   196.0    74.4   131.5   146.1   257.6   311.7   341.0   361.6   384.2   411.4   455.8   601.2  2756.8  7476.7  42187.3    42212
read      275.5   150.5    74.4   127.6   141.5   252.4   312.0   346.5   370.6   397.3   430.5   484.3   619.1  1821.1  3691.1  52624.5    52488
read      278.1   146.4    74.4   137.2   152.1   263.3   314.2   342.7   362.1   383.3   408.5   450.0   559.8  2027.0  3469.6  36942.1    36950
read      264.2   139.0    86.8   155.5   170.9   256.5   288.3   305.1   316.7   332.2   351.3   380.4   467.4  1535.2  7529.3  16725.1    16762
read      299.8   252.5    74.4   126.8   140.5   243.1   309.6   353.9   389.7   437.0   503.8   608.6  1076.9  3381.5  6451.1  79418.3    79473
read      282.3   192.9    74.4   126.8   140.5   247.8   311.2   349.2   376.5   407.9   450.9   514.6   715.1  2720.0  4763.9  61456.4    61431
read      335.0   365.3    74.4   128.8   143.4   248.3   315.2   363.9   406.0   469.9   560.1   746.9  1784.5  4584.2  7973.3  87242.5    87172
read      252.5   185.4    74.4   126.7   140.2   222.7   270.9   299.0   319.3   344.8   377.0   429.2   633.0  3088.2  5484.3 108260.7   108181
read      245.5   106.2    74.4   124.1   137.6   223.5   277.0   307.5   328.8   354.0   383.7   425.3   522.6   810.9  2093.1  80634.7    80515
read      279.5   152.2    74.4   138.4   153.4   265.1   315.8   343.8   362.9   383.8   408.8   451.5   571.6  1982.6  4196.5  37132.4    37149
read      254.7   105.0    86.8   158.2   172.9   248.4   276.7   292.1   303.2   316.5   334.8   362.1   423.2  1187.9  4388.5  13423.3    13444
read      297.0   238.1    74.4   128.3   142.0   247.2   314.7   358.7   392.0   434.1   492.0   579.6   940.9  3324.5  7151.7  72028.3    72057
read      292.7   212.3    74.4   127.2   140.8   246.6   313.9   357.1   389.7   430.6   486.8   570.4   923.3  2692.4  5037.0  69996.8    70041
read      273.2   234.5    68.9   126.3   140.0   228.7   283.7   315.8   340.0   369.1   406.3   487.3  1077.9  3184.4  6988.3  90104.3    90162
read      260.6   107.3    74.4   131.6   146.4   247.8   301.8   328.6   347.0   367.3   391.2   425.0   500.4   662.9  2920.7  52080.3    52082
