Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778887712485
Timestamp end: 1778888912773

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      225.8    86.1    86.8   151.7   163.8   219.2   241.5   254.0   264.2   274.7   291.6   317.0   376.8   747.9  3138.9   6891.9     6927
read      266.5   127.0    68.9   122.5   136.8   248.6   306.4   337.9   361.7   389.6   424.2   470.5   577.8   843.9  2781.7  52725.7    52892
read      242.4   103.6    68.9   121.9   135.3   223.2   273.1   301.3   320.5   344.0   372.8   418.1   528.8   878.6  1900.4  99006.2    98921
read      248.5   102.9    74.4   121.8   135.6   234.8   287.8   313.9   332.2   353.4   380.3   421.1   497.8   645.9  2360.3  61135.5    61129
read      264.8   107.2    74.4   127.9   142.9   254.9   305.2   331.5   350.9   372.8   401.2   442.0   520.3   713.4  2135.8  40615.8    40613
read      264.4   127.9    74.4   121.3   135.4   246.4   303.8   335.2   359.0   386.6   420.5   467.6   578.3   844.0  3081.0  53189.2    53226
read      266.5   107.0    74.4   128.7   143.9   256.4   306.3   332.7   352.1   374.0   401.8   444.1   531.0   758.8  2376.5  38643.1    38560
read      247.6   132.0    68.9   123.9   137.8   227.4   276.5   304.2   323.6   346.7   376.3   423.4   548.0  1209.6  3651.5 103317.5   103465
read      244.2   104.9    68.9   123.6   137.6   226.2   274.5   301.9   320.7   343.7   372.0   416.6   529.1   963.7  2089.3 104914.9   104758
read      241.1   105.8    74.4   121.0   134.2   221.9   272.2   300.7   320.1   343.3   372.0   416.0   516.6   845.9  2188.7  94816.9    94759
read      268.7   137.0    74.4   129.1   144.4   255.2   304.3   330.6   350.3   373.1   402.3   445.1   544.4  1524.4  4376.9  37752.2    37799
read      228.4   140.2    86.8   149.2   160.7   216.5   239.6   252.8   263.5   275.0   292.3   318.9   402.1  1985.9  4973.0   8273.8     8296
read      249.1   119.1    68.9   120.7   134.3   230.4   284.7   312.3   332.0   355.0   384.4   429.7   538.2  1125.2  3211.0  69397.3    69443
read      235.0    98.5    80.4   147.4   161.0   226.3   252.8   268.7   280.2   293.8   312.0   340.7   416.9  1153.8  3819.9  12561.5    12517
read      266.0   149.4    74.4   122.9   137.4   247.4   301.1   331.1   353.1   378.1   409.7   455.1   558.7  1997.5  3719.8  43592.0    43591
read      249.3   111.7    74.4   140.1   155.9   240.3   274.9   293.8   307.4   322.2   344.1   377.2   456.7  1228.1  3215.6  20416.3    20430
read      246.7   129.6    74.4   122.0   135.4   224.8   275.8   304.4   324.6   348.6   378.9   426.1   557.7  1399.1  3991.5  93556.4    93758
read      233.6   111.6    80.4   150.0   162.9   224.9   250.0   264.9   275.1   289.1   306.4   334.5   404.1  1164.3  4118.6  10474.1    10485
read      252.2   126.1    86.8   149.5   164.6   241.1   272.9   291.1   304.3   319.0   340.7   373.0   461.8  1664.9  4817.6  16546.5    16518
read      246.1   134.9    68.9   120.5   133.7   224.3   277.1   306.3   326.3   349.6   379.2   425.1   541.6  1401.1  4246.2  83090.5    83230
read      215.1   125.2    93.8   146.4   156.5   204.9   226.8   238.5   247.7   258.3   273.1   297.7   364.5  1367.5  7398.3   5498.1     5484
read      260.7   135.7    74.4   122.1   135.8   240.7   296.9   326.2   347.6   372.6   404.9   455.3   579.4  1449.3  3422.3  55606.5    55611
read      254.8   105.2    80.4   141.8   158.1   245.6   281.7   301.1   315.2   332.7   355.2   390.7   467.1  1184.9  3135.4  20837.9    20774
read      248.3   138.4    74.4   123.0   136.6   226.2   276.6   305.3   325.3   348.8   378.9   427.1   568.2  1386.5  4959.2  96698.8    96726
read      269.0   132.3    80.4   133.1   148.9   255.5   302.5   327.5   345.8   367.7   395.5   434.9   539.3  1833.4  3267.3  32461.5    32442
read      246.6   115.6    74.4   120.6   133.9   227.8   282.0   310.5   330.4   353.3   381.8   426.0   524.8   903.4  2885.4  72994.1    73039
read      246.2   106.9    68.9   120.8   134.2   227.8   281.7   310.2   330.5   353.7   382.4   426.7   522.9   794.3  2345.5  73966.1    74055
read      251.9   102.3    74.4   124.4   138.8   241.4   291.4   315.4   333.0   353.4   378.7   418.6   493.6   629.5  2613.5  51116.6    51197
read      249.2   105.0    74.4   122.3   136.3   235.5   288.1   314.5   333.0   354.1   379.9   420.4   498.6   662.5  2915.6  59597.4    59442
read      263.4   132.2    74.4   128.4   143.1   249.6   296.8   322.3   341.4   363.5   392.0   432.4   533.4  1820.1  3222.1  35596.6    35654
read      243.5   115.8    68.9   119.0   132.0   223.3   277.1   305.5   324.7   347.3   375.5   422.6   548.3  1045.0  3007.4  78732.8    78747
read      265.9   159.5    74.4   124.5   139.1   247.2   299.1   327.3   348.1   371.9   403.0   448.0   558.0  2302.4  4681.1  42297.4    42212
read      274.4   170.0    74.4   123.4   137.6   249.0   310.1   341.7   365.0   393.6   429.4   482.6   636.7  2293.0  4136.4  52420.5    52488
read      270.0   133.3    74.4   131.7   146.8   257.6   309.2   333.7   350.3   370.0   397.2   436.0   536.2  1804.8  3347.1  36887.3    36950
read      252.4   155.4    80.4   146.1   161.5   241.8   275.2   292.3   304.2   317.3   335.4   363.4   452.4  2058.3  7614.7  16785.7    16762
read      246.9   120.7    74.4   122.1   135.6   226.4   282.2   311.6   331.0   352.6   379.2   422.9   528.4   853.4  3490.0  79391.9    79473
read      252.8   102.6    74.4   125.0   139.1   237.6   294.6   320.7   338.8   359.1   384.0   423.0   502.5   674.0  2196.6  61550.7    61431
read      246.9   108.0    68.9   123.8   137.5   226.0   280.5   310.4   330.5   353.1   380.8   424.8   531.8   894.8  1914.9  87244.0    87172
read      252.3   125.8    74.4   128.1   142.0   230.9   280.9   308.8   328.4   351.0   379.5   427.0   568.0  1398.5  3222.4 108255.3   108181
read      249.0   107.0    68.9   124.3   138.1   228.7   284.6   314.0   334.2   356.6   384.3   427.7   528.0   804.2  1858.1  80527.1    80515
read      274.0   132.6    74.4   134.6   150.1   262.6   314.0   338.7   356.0   374.9   402.8   443.6   540.1  1636.6  3494.9  37145.9    37149
read      253.0   139.0    86.8   153.5   168.1   243.3   274.8   290.9   302.1   315.4   333.1   360.9   446.2  1466.9  6876.4  13453.3    13444
read      252.9   112.4    74.4   124.4   138.4   232.4   290.5   320.0   340.3   362.6   390.4   432.3   533.8   900.8  2747.1  72259.1    72057
read      252.6   105.3    68.9   124.9   139.0   233.5   292.6   321.3   341.2   363.1   390.3   430.2   511.2   705.3  1523.2  70078.6    70041
read      248.8   112.4    68.9   124.8   138.6   227.2   281.1   310.3   330.6   353.7   382.2   428.1   544.5  1039.0  2374.6  90094.5    90162
read      260.4   105.6    74.4   129.9   144.7   248.9   304.6   329.8   346.2   365.1   388.9   424.7   496.2   640.7  2720.6  52141.9    52082
read      270.6   107.1    80.4   147.4   163.5   266.0   305.3   324.0   337.8   353.4   372.6   406.7   488.7  1253.6  2962.1  24233.5    24258
read      255.5   116.4    74.4   125.3   139.3   234.0   292.5   321.3   341.7   364.6   394.3   440.1   562.9   978.4  2734.6  72025.5    72013
read      257.7   106.1    74.4   127.9   142.1   243.3   300.9   327.6   345.2   365.2   390.5   427.8   503.0   653.0  1914.6  57878.9    58012
read      262.3   106.1    74.4   132.2   147.3   254.1   305.7   329.3   345.1   363.3   386.1   421.1   492.6   669.3  2454.9  45390.5    45398
read      261.9   107.3    68.9   130.4   145.1   250.9   305.8   330.7   347.0   366.1   390.7   427.4   504.5   678.5  2891.3  50213.9    50177
read      273.3   124.9    80.4   136.9   152.2   264.3   312.8   336.2   352.4   371.1   398.0   435.8   530.8  1434.9  3158.1  34426.9    34504
read      255.4   115.1    74.4   125.5   139.6   236.4   295.2   323.0   341.9   363.3   390.4   431.0   526.1   993.9  2948.0  65922.1    66010
read      251.8   110.0    74.4   125.1   138.9   231.8   289.8   319.4   339.2   361.1   388.4   429.7   521.4   744.7  2840.1  73924.5    73937
read      259.3   102.5    74.4   128.7   143.2   246.5   303.6   329.8   346.9   366.4   391.1   427.3   500.3   637.4  2011.9  55101.5    55020
read      261.1   106.5    74.4   129.7   144.4   248.9   305.6   330.9   347.7   366.7   390.9   426.5   500.0   680.6  2679.6  53206.6    53235
read      248.0   109.2    74.4   126.1   139.7   226.9   279.0   308.2   327.9   350.3   378.5   424.6   543.7  1055.3  1927.0  97779.1    97743
read      216.9    93.3    86.8   149.9   160.6   208.8   229.0   240.2   249.2   260.1   274.5   296.5   360.2  1201.2  3383.2   5386.2     5419
read      251.4   104.0    80.4   152.3   166.9   245.3   277.1   292.4   303.4   315.9   333.0   359.3   426.9  1148.3  3027.7  14749.5    14764
read      229.0    78.3    86.8   155.2   166.9   221.8   244.1   257.1   267.6   279.1   293.2   316.6   371.4  1024.4  2926.3   7466.0     7451
read      283.1   167.4    74.4   130.2   145.1   260.9   320.4   351.5   373.5   401.9   435.3   488.4   637.8  2189.6  3844.9  48179.2    48208
read      252.6    85.3    86.8   151.7   166.5   248.2   280.7   295.7   307.2   319.1   336.3   361.7   425.5   980.1  2353.1  16104.1    16149
read      252.2   122.9    68.9   125.0   138.8   229.9   287.4   317.6   338.1   361.1   390.1   433.0   539.3   944.3  3654.4  78996.1    78989
read      260.3    97.7    86.8   150.0   165.6   255.0   289.4   306.0   317.3   331.6   348.1   377.5   462.1  1228.8  2628.4  18838.3    18886
read      253.5   114.8    74.4   125.4   139.3   232.0   290.5   320.1   340.2   362.9   391.6   434.0   538.8   905.9  3134.5  75986.1    75954
read      274.4   138.7    74.4   131.7   146.8   260.2   315.1   341.5   360.3   382.2   411.8   456.0   564.4  1796.7  3424.0  44564.1    44409
read      259.2   132.4    86.8   152.6   167.9   251.4   284.4   300.1   311.9   325.0   342.4   370.3   458.7  1560.2  6636.7  16427.7    16431
read      251.8   122.5    74.4   125.3   139.0   229.5   285.0   314.8   335.3   358.3   387.3   432.1   553.0  1090.6  3367.2  85593.5    85707
