Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778716235435
Timestamp end: 1778717435733

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      221.0   198.5    86.8   144.8   155.4   201.8   221.6   233.6   244.1   256.8   273.2   302.5   491.8  2987.8  7786.9   6951.1     6927
read      257.4   107.3    74.4   127.9   141.1   249.4   301.6   324.9   340.7   358.9   380.7   416.8   507.2   759.0  2841.1  52878.2    52892
read      257.8   139.1    74.4   125.5   139.4   231.7   288.3   318.7   340.1   364.2   393.8   441.9   651.8  1443.9  3926.0  98918.4    98921
read      257.9   111.5    80.4   126.6   139.9   243.9   302.0   328.0   345.2   364.7   388.6   426.2   533.1   824.8  2902.6  61149.7    61129
read      258.0   104.8    74.4   131.0   145.0   255.9   298.9   318.2   332.4   347.4   368.2   400.7   490.0   774.8  2935.4  40585.2    40613
read      262.0   126.9    80.4   129.3   142.7   252.3   304.4   328.0   343.8   362.2   384.9   422.7   535.8  1153.3  3798.2  53169.5    53226
read      255.2    96.4    80.4   131.1   145.2   254.7   294.8   313.7   326.8   341.8   361.7   392.7   470.2   742.7  2820.8  38584.9    38560
read      261.9   131.4    80.4   129.4   143.7   236.0   291.7   322.1   343.6   368.1   398.1   448.2   660.6  1426.9  2824.6 103539.4   103465
read      263.7   148.9    74.4   128.3   142.7   235.8   292.1   322.6   344.2   368.8   399.7   454.5   693.9  1630.1  3839.7 104708.9   104758
read      260.9   136.2    74.4   127.8   141.7   234.6   292.3   323.0   344.2   367.8   397.0   445.7   668.0  1423.2  3188.5  94802.2    94759
read      255.6    97.6    74.4   131.3   145.4   255.1   295.8   314.8   328.1   343.0   363.1   393.7   467.1   709.4  2586.5  37794.1    37799
read      209.4   113.0    86.8   140.5   151.5   199.0   218.1   230.2   239.0   252.1   269.0   294.4   371.5  1093.4  5783.1   8300.1     8296
read      255.3   116.8    80.4   124.3   137.7   235.6   297.4   325.7   344.6   365.6   391.3   430.4   544.3   938.9  2912.9  69494.1    69443
read      224.7    91.0    86.8   140.4   154.3   215.2   239.9   255.8   267.0   279.2   295.2   321.2   406.2  1083.4  2914.4  12551.9    12517
read      258.2   112.5    80.4   128.3   141.8   253.4   300.1   321.2   336.5   353.5   374.0   409.4   497.0  1003.4  3054.8  43557.8    43591
read      236.8    97.4    80.4   138.2   153.3   231.6   261.8   276.7   287.6   299.2   315.4   341.4   409.8   798.7  4110.7  20426.6    20430
read      256.7   128.6    74.4   125.1   139.0   231.3   289.3   320.0   341.4   365.6   395.6   444.5   621.4  1254.5  3025.7  93666.4    93758
read      216.2   102.8    80.4   140.0   152.3   206.0   228.0   241.4   252.6   266.0   282.6   310.0   391.1  1188.5  3214.8  10533.2    10485
read      241.2   134.6    80.4   139.0   154.5   229.0   260.8   277.3   289.5   303.5   321.0   356.0   460.3  1755.3  5821.2  16485.3    16518
read      258.0   128.0    80.4   126.7   140.1   233.6   293.2   323.7   344.6   367.7   396.0   439.6   593.3  1260.0  3147.6  83146.7    83230
read      214.0   568.5    93.8   146.0   155.4   197.2   215.0   226.0   234.0   246.5   263.2   289.8   376.1  1371.5  7764.4   5495.4     5484
read      260.2   403.8    80.4   128.3   141.6   247.6   302.2   326.5   342.7   361.4   383.9   419.4   510.4   814.3  3876.4  55649.3    55611
read      240.6    91.3    80.4   140.6   156.1   235.7   266.9   282.1   292.5   305.4   320.7   347.6   415.4   634.4  2444.5  20793.9    20774
read      260.0   130.7    74.4   128.4   142.3   234.2   291.1   321.8   343.2   367.3   396.8   445.0   642.9  1378.7  2952.0  96512.6    96726
read      253.5    90.6    80.4   134.7   149.3   253.2   290.5   308.2   319.8   335.2   353.6   382.8   454.6   640.0  2005.9  32440.4    32442
read      255.2   115.8    74.4   125.9   139.2   234.7   295.5   324.4   343.8   365.2   391.4   431.2   544.1   887.2  3054.7  73122.8    73039
read      256.4   118.3    74.4   125.5   138.9   235.4   296.8   326.4   345.8   367.5   394.1   434.1   550.1   896.1  3150.9  74060.7    74055
read      258.8   103.6    80.4   129.6   143.2   252.0   303.1   326.0   341.3   359.0   380.2   415.4   501.9   721.6  2122.4  51030.1    51197
read      257.8   111.5    74.4   127.0   140.2   244.3   302.0   327.8   344.9   364.3   388.1   425.7   526.4   790.1  2850.6  59424.3    59442
read      255.6    99.0    80.4   133.7   148.1   254.4   294.1   312.5   325.0   340.3   360.1   391.3   464.2   659.9  2707.2  35734.7    35654
read      255.3   118.9    80.4   125.2   138.6   232.7   293.8   323.6   343.9   366.3   393.4   434.3   568.6  1008.9  2915.8  78742.7    78747
read      259.2    99.8    80.4   132.5   146.4   256.2   301.3   321.2   336.0   352.1   372.2   403.7   482.4   676.2  2921.9  42234.3    42212
read      261.6   126.3    80.4   129.0   142.5   251.5   304.9   328.9   344.9   363.7   386.7   423.2   524.8  1087.9  3421.9  52532.3    52488
read      260.8   457.8    80.4   133.8   148.1   255.8   297.0   316.1   329.8   344.8   365.4   396.8   473.4   700.9  3049.0  36903.5    36950
read      242.3    99.5    86.8   139.8   155.5   231.7   265.3   282.4   294.1   308.9   327.6   360.6   454.3  1258.0  2842.7  16786.9    16762
read      258.8   123.0    80.4   127.1   140.4   235.6   296.2   326.4   346.7   369.3   397.1   440.6   588.4  1093.5  3232.1  79336.9    79473
read      259.7   116.1    74.4   127.8   140.9   244.9   303.6   330.3   347.9   367.8   392.6   430.6   535.4   812.6  2925.2  61397.2    61431
read      268.7   154.6    80.4   128.8   142.9   240.2   300.2   332.0   353.7   377.9   409.2   466.0   717.3  1595.9  4743.3  87076.0    87172
read      280.4   183.6    80.4   133.5   149.3   249.6   305.3   336.3   358.5   384.2   418.7   483.0   816.4  2293.8  5502.3 108177.4   108181
read      258.0   119.1    74.4   126.8   140.2   234.8   295.3   325.8   346.3   369.1   397.2   441.8   588.7   985.3  2950.9  80571.7    80515
read      258.8    93.8    80.4   133.1   147.7   257.7   299.1   318.2   332.2   346.8   367.5   399.1   473.5   657.3  2439.5  37086.9    37149
read      239.1   119.0    86.8   145.4   161.0   227.5   257.8   273.5   285.3   297.6   317.0   347.1   433.6  1296.0  4971.9  13493.7    13444
read      261.6   137.0    80.4   127.0   140.3   239.2   300.7   330.1   349.7   371.5   399.0   444.2   590.1  1317.4  3795.0  71955.7    72057
read      259.0   113.8    74.4   127.4   140.6   239.1   300.7   329.7   349.0   370.3   396.8   436.5   553.5   892.2  2580.3  70054.7    70041
read      261.9   134.9    74.4   127.5   141.2   235.1   294.1   324.8   346.2   370.5   400.8   453.0   665.2  1325.9  3287.4  90257.8    90162
read      261.6   121.6    74.4   129.5   143.0   253.0   305.7   329.7   345.5   364.2   387.1   423.0   513.5   769.8  3553.5  52053.3    52082
read      247.8    87.6    80.4   138.9   154.2   245.0   278.7   294.2   305.8   318.4   336.7   364.8   430.0   602.7  3202.0  24256.1    24258
read      257.7   113.3    74.4   126.7   139.9   237.2   298.9   328.0   347.2   368.8   395.3   435.3   553.6   859.4  2759.6  71927.8    72013
read      258.1   109.3    80.4   127.2   140.3   245.4   302.8   328.5   345.4   364.9   388.7   425.5   518.9   739.6  2798.2  58025.8    58012
