[CTRL] Policy: throughput  (expand>85.0% shrink<50.0% dwell=0.5s poll=0.2s init_tier=1 cap_tier=2 lock=False)
[CTRL] memcached PID=40488
[CTRL] memcached pinned to [0] (tier 1)
[CTRL] slot_A: started canneal on cores=[3] threads=1
[CTRL] slot_B: started freqmine on cores=[1, 2] threads=2
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=86.6%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=46.5%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=86.6%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=43.3%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=93.2%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=43.3%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=86.6%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=43.3%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=92.5%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=46.6%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=93.2%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=50.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=93.3%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=50.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=86.6%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=46.6%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=86.6%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=43.3%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=93.2%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=49.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=99.8%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=50.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=99.1%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=50.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cp[CTRL] slot_B: vips done
[CTRL] slot_B: started radix on cores=[1, 2] threads=1
[CTRL] slot_B: radix done
  slot_B=[2] (cpu/core=93.2%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=50.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=99.9%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=50.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=93.1%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=49.8%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=93.2%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=50.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=99.9%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=50.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=98.5%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=49.8%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=99.3%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=40.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=99.9%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=50.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=99.6%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=49.6%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=99.9%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=49.1%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=99.9%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=50.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=99.9%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=50.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=98.4%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=49.9%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=99.9%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=50.0%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=93.0%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=39.9%)
[CTRL] tier 1 → 2  mem=[0, 1]  slot_B=[2] (cpu/core=99.9%)
[CTRL] tier 2 → 1  mem=[0]  slot_B=[1, 2] (cpu/core=46.6%)
