Linux 6.8.0-1021-gcp (memcache-server-w3cl) 	05/09/26 	_x86_64_	(4 CPU)

15:37:52      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:37:54      110     10029    0.00    0.00    0.00    0.00    0.00     1  memcached
15:37:56      110     10029    0.00    5.00    0.00    0.00    5.00     2  memcached
15:37:58      110     10029    0.50    3.00    0.00    0.00    3.50     2  memcached
15:38:00      110     10029    1.50   15.50    0.00    0.00   17.00     1  memcached
15:38:02      110     10029    0.50    5.00    0.00    0.00    5.50     1  memcached
15:38:04      110     10029    3.50   28.00    0.00    0.00   31.50     1  memcached
15:38:06      110     10029    1.00    5.50    0.00    0.00    6.50     1  memcached
15:38:08      110     10029    4.50   40.00    0.00    0.00   44.50     1  memcached
15:38:10      110     10029    1.50   11.00    0.00    0.00   12.50     1  memcached
15:38:12      110     10029    6.00   42.50    0.00    0.00   48.50     2  memcached
15:38:14      110     10029    2.50   23.50    0.00    0.00   26.00     2  memcached
15:38:16      110     10029    5.00   43.50    0.00    0.00   48.50     2  memcached
15:38:18      110     10029    5.00   39.00    0.00    0.00   44.00     2  memcached
15:38:20      110     10029    4.50   40.00    0.00    0.00   44.50     2  memcached
15:38:22      110     10029    5.50   58.50    0.00    0.00   64.00     2  memcached
15:38:24      110     10029    3.00   33.50    0.00    0.00   36.50     2  memcached
15:38:26      110     10029    8.00   71.00    0.00    0.00   79.00     1  memcached
Average:      110     10029    3.09   27.32    0.00    0.00   30.41     -  memcached
