Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1778464927837
Timestamp end: 1778466728145

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      248.0    95.0    93.8   157.9   170.5   238.1   267.8   284.0   295.3   310.1   329.0   362.0   454.4  1224.0  2737.4   6885.4     6927
read      304.5   195.8    74.4   128.7   143.9   270.0   336.6   378.8   412.6   453.5   504.2   579.4   778.7  2466.0  5336.8  52847.1    52892
read      289.3   252.6    74.4   130.3   146.0   251.1   305.2   336.1   360.3   391.7   435.6   507.8   869.4  3540.7  7681.8  98978.7    98921
read      267.0   123.0    74.4   127.9   142.5   250.5   306.9   336.7   358.0   382.2   412.9   460.9   558.0   788.0  3071.3  61241.0    61129
read      277.1   113.4    80.4   139.0   155.5   271.5   319.8   345.1   362.6   381.8   404.0   439.8   517.5   662.8  2669.3  40645.0    40613
read      270.8   111.7    74.4   130.9   146.4   258.6   312.3   340.6   361.1   384.0   412.1   456.3   546.2   739.0  2383.5  53264.3    53226
read      276.6   104.6    74.4   140.5   157.4   272.9   318.7   343.3   360.0   377.5   399.3   433.2   505.6   631.4  2167.8  38522.7    38560
read      272.6   137.2    74.4   131.5   147.3   249.9   301.9   331.3   353.4   382.0   421.9   484.9   633.9  1533.6  3312.0 103547.7   103465
read      277.0   152.0    74.4   131.8   148.2   253.0   305.3   335.4   358.7   388.6   429.7   495.6   653.8  1701.2  4080.6 104838.8   104758
read      269.0   140.0    74.4   129.1   144.2   245.9   298.8   328.4   350.4   378.9   419.0   481.5   623.6  1509.3  3564.1  94681.1    94759
