Random waveform, supplied seed
Total number of intervals = 600 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730, 71079, 108942, 55406, 42279, 21876, 34140, 42897, 18462, 100375, 41347, 101594, 47486, 73393, 51134, 58201, 71020, 72071, 93446, 28724, 59269, 74624, 52368, 9687, 44165, 6895, 55457, 61164, 108384, 33319, 97895, 39720, 68554, 86849, 30264, 100754, 98098, 86028, 93054, 42348, 29490, 18187, 95113, 8570, 62285, 52582, 34260, 59493, 58208, 93458, 18056, 94134, 37808, 53481, 25666, 108853, 41576, 70282, 45769, 92383, 12100, 67747, 68933, 63242, 72993, 51022, 67069, 24895, 68588, 42706, 49479, 64792, 73879, 31893, 74262, 57246, 91617, 55173, 108633, 15720, 99961, 102613, 57169, 56950, 49938, 5383, 39719, 36653, 69482, 46749, 65109, 46501, 109480, 69433, 58157, 70737, 34617, 77563, 90036, 36689, 46832, 104903, 14153, 21674, 5689, 37781, 15507, 102064, 71340, 79815, 44352, 109562, 86219, 47335, 41962, 45802, 13389, 95780, 87844, 55903, 100902, 70988, 53831, 26948, 32347, 41050, 56197, 94617, 71839, 79082, 107630, 60164, 97878, 63680, 73888, 65499, 96906, 103287, 49664, 32535, 46477, 7459, 74137, 57061, 34213, 7432, 41605, 32998, 61636, 64695, 14063, 91302, 6064, 41354, 19863, 19488, 14040, 19538, 20199, 106657, 92457, 92780, 68203, 81753, 57748, 21027, 49680, 82042, 93691, 45291, 30437, 67422, 69956, 35404, 80225, 105585, 20088, 12672, 15696, 25951, 65007, 10189, 78008, 12678, 15922, 41774, 38788, 34559, 54825, 42697, 12669, 70047, 96137, 92934, 20597, 66597, 59987, 58456, 59958, 98221, 55912)
Average QPS expected = 57644
Timestamp start: 1778508059638
Timestamp end: 1778509860096

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      240.7    79.6    93.8   158.6   173.2   230.8   253.0   266.2   274.9   289.4   310.7   346.8   460.3  1034.2  2030.2   6957.3     6927
read      314.7   256.7    80.4   129.2   143.6   265.3   343.6   389.2   422.7   462.0   509.9   594.2   863.7  3731.1  7209.9  52822.3    52892
read      289.6   225.2    80.4   126.1   140.3   231.9   286.5   326.1   357.7   399.7   471.3   659.7  1183.4  2361.4  3941.1  98653.3    98921
read      253.0   110.5    80.4   127.0   140.6   237.7   286.0   315.0   336.9   360.7   388.7   428.5   508.6   703.1  3038.9  61407.7    61129
read      257.1    94.6    80.4   135.7   151.1   251.2   288.4   311.4   328.5   346.7   369.6   402.9   479.6   715.7  2478.4  40929.3    40613
read      254.4   113.5    80.4   128.9   142.9   243.3   288.0   314.4   333.8   355.1   380.3   419.0   498.3   691.8  4319.5  53037.0    53226
read      257.4    87.4    80.4   138.5   154.2   253.0   288.6   310.0   326.2   344.4   367.4   399.8   468.6   591.5  1174.8  38730.7    38560
read      246.2   112.9    74.4   123.8   137.5   222.6   270.0   298.7   323.5   352.0   386.8   437.6   560.2  1157.9  2182.5 103210.3   103465
read      243.9   113.5    74.4   123.2   137.0   221.8   268.8   296.8   320.9   348.4   382.0   431.0   535.5   992.6  2741.2 104921.0   104758
read      241.5   107.4    74.4   120.8   134.1   219.3   268.1   296.0   320.5   347.6   380.3   429.0   536.6   882.5  2063.4  94489.7    94759
read      254.6    83.8    80.4   139.2   154.5   250.9   285.0   304.4   320.0   338.4   360.4   392.7   461.4   584.6   997.8  37851.7    37799
read      230.0    84.7    86.8   160.8   173.8   224.1   243.0   253.2   261.4   270.5   283.8   308.4   381.3   997.9  3365.2   8285.0     8296
read      246.7   106.1    74.4   123.1   136.7   229.2   277.9   306.7   329.8   355.2   384.8   426.4   509.0   667.8  3280.1  69628.0    69443
read      234.4    75.6    93.8   155.2   170.8   229.4   250.3   262.1   270.2   280.5   294.6   320.5   395.4   982.2  2307.2  12597.7    12517
read      254.3   100.4    80.4   132.5   147.5   247.7   286.2   308.9   326.2   345.5   369.2   402.8   479.3   705.8  3111.8  43371.7    43591
read      245.1    68.3    93.8   150.2   167.2   241.2   266.1   279.3   290.1   303.5   322.6   353.2   424.5   639.2  1604.3  20350.0    20430
read      245.2   107.8    80.4   121.9   135.3   222.6   271.5   301.6   326.3   354.4   388.9   437.0   553.4   806.9  1931.7  94243.7    93758
read      234.7    95.9    93.8   157.9   173.0   227.7   247.6   258.8   267.6   277.4   293.2   320.7   399.5   989.9  4055.4  10537.7    10485
read      240.9    72.6    93.8   152.9   170.1   236.8   259.1   271.1   280.6   292.6   311.1   340.3   401.5   920.7  2040.9  16498.7    16518
read      248.1   114.6    74.4   123.0   136.7   226.9   276.7   307.5   331.3   357.9   390.0   436.0   534.5   793.2  2980.7  83077.0    83230
read      228.1    92.8   109.4   158.5   170.5   220.2   239.3   250.2   258.2   268.8   283.2   310.4   404.5  1059.0  4881.1   5508.3     5484
read      251.8    98.0    74.4   127.8   141.6   240.8   285.4   312.0   332.2   354.0   379.9   419.8   498.0   634.4  1765.4  55296.0    55611
read      245.9   114.0    93.8   148.7   166.0   241.5   265.9   279.1   289.9   303.4   323.1   353.0   416.1   934.3  4217.4  20697.7    20774
read      258.2   139.2    74.4   125.0   139.5   233.4   284.0   315.8   339.9   368.9   406.4   467.3   599.4  1220.7  2853.0  96816.0    96726
read      256.9    97.6    80.4   137.3   153.1   249.6   283.5   304.8   322.2   342.5   367.4   404.3   488.5   804.0  3053.9  32407.0    32442
read      248.1   114.9    74.4   122.9   136.4   229.3   279.8   309.7   333.0   358.1   387.8   430.3   513.5   681.0  3912.2  72718.0    73039
read      247.6   108.5    74.4   122.4   135.9   228.1   278.4   308.6   331.8   357.2   387.9   430.9   526.9   787.1  2058.8  73963.3    74055
read      252.6    96.9    80.4   128.4   142.6   243.3   286.7   312.3   331.4   352.1   375.9   413.6   494.6   657.0  1491.2  51069.7    51197
read      251.7    99.7    80.4   126.1   140.1   238.4   285.7   314.2   335.2   357.7   384.4   424.1   506.7   646.6  1391.3  59386.0    59442
read      255.1    98.3    80.4   137.8   153.7   250.7   283.7   303.1   319.0   337.5   359.6   391.9   462.1   642.8  3385.1  35590.0    35654
read      245.4   100.4    74.4   121.7   135.1   226.0   275.6   305.2   329.3   355.9   387.0   431.5   522.3   713.9  1235.9  78347.3    78747
read      255.3    88.4    80.4   134.3   150.0   249.9   287.4   309.4   326.3   345.7   369.6   402.7   471.4   594.2  1650.7  42316.7    42212
read      253.4   101.2    74.4   129.2   143.4   243.5   286.8   312.8   332.2   353.3   378.1   416.8   495.0   649.8  3244.5  52696.7    52488
read      255.8    91.2    80.4   137.7   153.2   250.9   285.3   305.8   321.8   340.7   363.4   397.2   469.9   653.2  2760.5  37011.0    36950
read      242.5    79.4    86.8   153.4   171.3   238.3   260.7   272.5   282.3   293.6   311.9   341.8   406.1   928.0  2482.0  16949.7    16762
