Random waveform, supplied seed
Total number of intervals = 450 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730, 71079, 108942, 55406, 42279, 21876, 34140, 42897, 18462, 100375, 41347, 101594, 47486, 73393, 51134, 58201, 71020, 72071, 93446, 28724, 59269, 74624, 52368, 9687, 44165, 6895, 55457, 61164, 108384, 33319, 97895, 39720, 68554, 86849, 30264, 100754, 98098, 86028, 93054, 42348, 29490, 18187, 95113, 8570, 62285, 52582, 34260, 59493, 58208, 93458, 18056)
Average QPS expected = 58024
Timestamp start: 1778502315784
Timestamp end: 1778504116190

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      241.5    98.0    93.8   159.2   172.3   232.3   255.6   269.5   279.3   291.5   309.6   341.7   422.7  1007.6  4157.9   6837.5     6927
read      311.2   273.1    80.4   124.1   139.4   261.6   337.0   386.3   421.1   460.5   510.3   593.4   868.2  3923.8  8087.2  52887.5    52892
read      280.1   210.0    74.4   124.6   139.5   236.5   290.6   324.6   353.0   388.7   438.7   536.8  1033.3  2594.6  4529.4  99048.0    98921
read      258.6   110.0    80.4   125.0   139.7   242.6   292.3   320.8   343.5   369.3   400.8   448.4   545.1   760.9  2727.3  61065.5    61129
read      259.1    95.0    74.4   132.3   148.5   252.8   292.3   315.3   333.2   354.1   380.0   417.4   490.3   615.7  1368.1  40882.2    40613
read      257.9   107.7    74.4   126.3   141.1   246.1   292.6   319.4   340.1   363.3   391.9   432.9   515.2   690.9  2652.4  53281.0    53226
read      259.7    94.6    74.4   133.6   149.9   254.2   292.4   315.0   332.5   352.6   377.0   413.3   487.8   629.4  2130.0  38569.8    38560
read      262.7   135.1    74.4   126.0   140.7   238.3   290.8   321.6   346.8   376.4   415.0   471.6   610.5  1153.6  3071.3 103397.0   103465
read      263.7   124.0    74.4   126.5   141.4   239.7   292.3   323.7   348.3   377.5   416.7   474.0   613.3  1177.5  2449.4 104547.5   104758
read      259.2   126.4    74.4   124.5   139.5   235.8   287.8   317.9   342.5   371.7   410.2   466.3   588.1  1144.1  2451.1  95042.8    94759
read      260.5    98.3    80.4   135.1   151.4   255.0   292.4   314.7   332.1   352.1   376.5   413.7   490.6   618.2  2762.7  37702.8    37799
read      240.8   116.1    93.8   162.0   176.0   232.6   253.5   266.2   274.5   287.0   302.2   331.7   403.2  1116.6  5837.9   8316.0     8296
read      255.9   128.9    68.9   123.0   137.7   236.5   288.4   316.7   339.8   366.7   399.5   448.5   544.1   777.4  3813.0  69286.8    69443
read      243.4    82.2    86.8   158.5   174.7   237.5   261.6   274.2   284.4   295.0   313.8   343.1   408.0   908.3  2004.9  12640.8    12517
read      260.8   102.6    80.4   131.4   147.0   253.0   294.6   318.5   337.4   359.4   386.3   425.0   505.3   670.1  3084.1  43686.2    43591
read      251.4    87.5    80.4   148.8   166.6   246.5   274.3   289.6   300.4   316.1   337.5   369.2   434.8   769.9  3891.1  20475.2    20430
read      258.9   134.7    74.4   123.8   138.2   234.2   287.0   316.8   341.6   370.9   408.0   465.8   605.6  1230.9  3717.4  93913.5    93758
read      239.0    85.5    93.8   160.5   174.7   233.2   254.5   267.4   275.6   288.0   303.4   333.3   400.0   911.2  2029.5  10484.2    10485
read      250.8    73.4    93.8   156.3   174.2   246.1   271.7   285.9   295.3   310.6   330.5   360.0   424.6   903.7  2635.9  16587.0    16518
read      257.6   136.5    80.4   123.1   137.6   234.1   286.6   316.4   340.9   369.8   405.3   460.6   580.4  1463.7  3528.2  82987.0    83230
read      236.3   146.4    93.8   160.0   173.1   226.6   247.5   259.2   268.1   278.0   292.6   319.4   401.9  1282.4  7776.7   5506.2     5484
read      259.3   108.5    74.4   127.0   141.8   246.7   294.5   320.9   342.0   365.5   394.5   436.9   533.6   773.3  2551.8  55369.5    55611
read      252.8    84.4    80.4   150.0   167.8   248.4   276.0   291.2   302.6   317.8   339.5   370.6   434.7   651.7  2147.3  20719.8    20774
read      256.6   130.5    74.4   123.4   138.1   233.3   285.0   314.1   338.2   367.3   404.5   462.0   591.2  1095.8  2934.2  96750.2    96726
read      257.6    88.1    74.4   138.5   155.7   253.6   288.3   307.2   321.1   340.0   363.3   397.4   470.0   595.6  1951.3  32415.8    32442
read      254.2   108.2    74.4   122.8   137.1   235.1   287.7   316.2   339.7   367.3   400.5   450.5   545.0   732.2  1427.2  72717.8    73039
