Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778346198687
Timestamp end: 1778347999061

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      238.4   116.7    93.8   152.5   164.7   222.9   254.4   271.1   283.1   296.4   315.3   345.1   453.1  1585.4  4009.7   6821.2     6927
read      327.9   237.1    80.4   133.8   149.2   288.7   358.9   401.7   434.8   477.8   534.4   629.2  1010.2  2887.0  7573.6  52655.0    52892
read      390.8   505.0    80.4   142.5   160.8   292.2   357.9   397.2   429.9   475.8   552.5   725.7  3354.7  5789.8  8923.6  98967.2    98921
read      266.6   118.4    80.4   132.4   146.3   250.7   310.5   337.9   356.6   377.1   402.6   443.4   546.6  1015.8  3078.0  61014.6    61129
read      267.4   106.2    80.4   137.4   151.3   265.8   311.9   333.2   346.9   364.8   386.2   419.1   495.8   751.6  2145.1  40706.4    40613
read      266.6   104.5    80.4   134.0   148.0   257.7   313.2   338.0   354.9   373.4   397.7   433.9   522.0   728.6  1921.0  53214.6    53226
read      265.7    97.9    80.4   137.5   151.6   265.1   309.2   329.7   343.2   360.1   380.4   412.8   488.2   722.0  2270.9  38685.2    38560
read      284.8   165.3    80.4   138.5   153.7   257.9   315.4   346.0   369.0   396.0   432.1   497.0   701.0  2066.6  5502.6 103585.4   103465
read      283.4   150.6    80.4   137.9   153.0   256.5   314.5   345.7   368.9   396.6   433.5   501.1   719.1  1600.2  3604.2 104565.2   104758
read      272.1   136.3    80.4   134.6   149.3   247.2   305.6   336.3   358.2   383.7   416.9   469.7   631.9  1590.7  3310.5  94796.0    94759
read      264.0    95.3    80.4   137.8   151.8   264.2   307.3   327.2   340.9   357.3   376.3   407.3   479.0   617.7  1772.2  37769.6    37799
read      229.6    78.0   101.3   154.9   168.5   222.3   246.7   260.1   269.6   280.8   295.0   318.9   374.5   500.5  3453.8   8286.0     8296
read      264.6   114.2    80.4   132.2   145.9   245.0   307.0   336.3   356.1   378.1   405.1   448.3   549.4   861.8  2509.0  69171.0    69443
read      236.2    69.5    86.8   151.5   166.5   231.1   258.2   271.7   281.9   293.4   309.2   333.4   389.8   503.8  2027.7  12483.0    12517
read      263.4    97.0    86.8   135.8   149.8   261.0   309.0   330.4   344.6   362.1   382.9   414.4   486.6   643.3  1758.0  43664.4    43591
read      255.1    86.8    86.8   147.2   163.5   255.6   286.3   301.5   312.5   324.7   341.8   367.9   426.1   606.8  2305.5  20378.2    20430
read      272.3   158.9    80.4   134.4   149.2   246.8   305.3   336.2   358.1   383.5   416.4   468.7   630.8  1679.7  3605.4  93680.4    93758
read      236.7    85.4    93.8   154.8   169.9   231.4   257.3   270.6   280.1   291.5   306.3   329.0   383.7   501.6  3642.3  10573.8    10485
read      244.9    70.3    93.8   149.3   165.1   243.0   271.6   286.4   296.2   309.0   323.1   346.2   398.6   501.2  2018.4  16488.4    16518
read      262.5   124.4    80.4   130.5   144.2   236.9   298.8   330.0   351.0   374.6   404.0   452.1   584.8  1343.6  2925.6  83089.6    83230
read      218.5    69.2   101.3   154.6   165.4   210.1   230.5   242.8   251.7   263.3   277.3   300.7   361.0   929.0  2428.2   5448.4     5484
read      263.4   104.0    80.4   132.5   146.3   252.4   309.4   334.9   352.0   371.2   395.5   432.0   514.4   706.7  1514.4  55423.0    55611
read      248.2    72.7    86.8   144.1   160.4   248.0   278.5   293.3   304.2   316.4   333.3   359.0   414.6   576.5  1772.4  20876.6    20774
read      265.3   150.0    80.4   131.1   145.1   238.0   295.7   326.3   347.5   372.4   403.4   455.9   613.5  2064.0  3603.3  96595.4    96726
read      257.2    84.6    80.4   138.3   152.6   258.8   297.4   315.1   327.5   341.8   360.9   389.2   448.7   551.9  1774.6  32377.8    32442
read      261.3   123.4    80.4   130.2   143.7   238.8   301.7   331.3   351.2   373.3   400.9   443.4   551.9  1080.7  3353.3  73012.8    73039
read      258.6   129.9    80.4   129.0   142.3   235.0   297.6   327.7   347.4   370.0   397.3   437.8   543.7  1147.9  3917.6  74255.4    74055
read      260.8   107.7    80.4   132.2   145.9   252.0   306.0   329.8   345.3   364.0   386.6   420.7   497.1   787.7  3198.1  51138.0    51197
read      263.3   112.2    80.4   131.3   145.2   245.9   305.0   332.7   351.5   372.9   400.8   445.1   545.8   858.0  2431.7  59293.2    59442
read      260.1   104.4    80.4   137.0   150.9   259.8   300.4   319.1   332.9   347.2   367.4   397.6   466.0   909.5  3105.0  35564.6    35654
read      255.6   112.8    80.4   128.5   141.5   232.6   294.5   324.8   345.2   368.3   396.1   436.1   536.3   924.6  2178.9  78767.4    78747
read      260.4   107.8    86.8   134.7   148.5   257.6   304.1   324.6   339.0   355.4   374.3   405.2   479.0   752.5  2726.7  42057.0    42212
read      259.6   101.0    80.4   131.6   145.1   250.8   305.9   329.8   345.4   364.1   386.8   420.7   494.7   691.5  2259.6  52516.0    52488
read      260.0    88.9    80.4   137.1   151.4   261.3   303.2   321.7   335.2   349.6   369.0   398.1   459.3   554.2  1528.9  36937.0    36950
read      244.1    75.9    86.8   148.1   164.0   241.9   270.4   284.9   294.4   306.9   320.8   345.0   401.0   537.5  2337.8  16749.2    16762
read      256.2   123.4    80.4   128.7   141.7   232.6   294.4   324.8   344.9   368.0   396.6   437.0   541.6   986.2  2315.9  79400.2    79473
read      259.4   106.4    80.4   130.0   143.5   243.8   304.9   331.9   349.4   369.4   394.2   430.2   508.5   719.8  2183.4  61409.6    61431
read      265.6   141.9    80.4   131.6   145.5   239.4   299.3   330.3   351.5   375.8   406.1   456.4   604.1  1701.1  3398.7  87222.4    87172
read      279.2   138.9    80.4   137.1   152.2   254.2   311.2   342.2   365.2   392.3   428.3   491.7   671.5  1577.3  3187.9 108277.8   108181
read      256.6   114.6    74.4   128.2   141.4   233.2   294.8   325.7   346.3   369.9   398.2   440.1   543.7   967.0  2517.0  80567.0    80515
read      262.1   108.4    86.8   137.3   151.4   262.0   304.7   323.9   337.6   352.9   371.7   401.0   465.7   653.9  4201.4  37235.6    37149
read      239.1   129.1    86.8   151.7   167.1   234.2   261.6   275.0   285.7   296.6   312.7   336.9   393.0   508.5  2158.5  13520.4    13444
read      256.5   106.1    80.4   129.1   142.2   235.6   298.5   328.0   347.3   369.7   396.0   434.1   523.1   725.4  1905.2  71953.8    72057
read      261.8   116.2    80.4   130.3   143.7   240.5   303.4   332.7   352.5   374.4   401.9   444.5   548.6  1015.7  2524.4  70360.4    70041
read      258.5   118.8    80.4   129.6   143.0   233.8   293.1   324.2   345.3   369.9   399.8   446.4   571.5  1264.2  2247.7  90186.8    90162
read      265.3   106.9    80.4   133.4   147.4   256.6   311.2   335.7   352.3   371.1   394.8   430.5   511.8   775.1  2302.6  52137.8    52082
read      259.6   102.0    86.8   145.0   161.0   260.5   293.6   310.3   321.0   335.6   352.8   380.7   438.6   627.0  2610.0  24276.2    24258
read      262.4   114.4    80.4   130.9   144.6   241.5   304.0   333.8   353.9   375.9   402.5   444.4   547.0   990.8  2099.0  71794.4    72013
read      262.0   113.4    80.4   131.7   145.4   247.8   306.8   333.2   350.6   370.5   395.0   431.2   510.0   761.1  3325.7  58209.8    58012
read      267.9   102.8    80.4   137.8   152.0   264.5   313.4   335.6   350.5   368.0   390.2   423.3   499.1   672.3  1716.4  45384.0    45398
read      262.9    98.0    74.4   133.5   147.7   256.7   309.5   333.1   348.6   366.9   389.4   422.9   496.2   628.8  1285.2  49967.8    50177
read      263.0   108.2    80.4   138.7   153.1   263.3   303.2   321.4   335.0   349.4   369.1   398.9   466.0   910.4  3788.7  34513.8    34504
read      261.5   116.6    80.4   131.1   144.5   243.2   304.8   333.3   352.2   373.0   399.0   437.1   530.8   779.3  3770.3  65993.2    66010
read      258.6   115.9    80.4   129.2   142.5   236.5   299.6   329.3   349.3   371.4   398.9   440.0   544.1   848.6  1997.6  73798.2    73937
read      259.5    99.5    80.4   131.6   145.1   249.2   305.9   330.8   347.0   365.9   388.9   423.2   497.9   637.3  1301.0  54978.0    55020
