Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1778311493079
Timestamp end: 1778313293389

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      247.3   100.6    86.8   160.2   172.6   236.3   263.7   278.6   290.2   304.1   322.4   360.9   452.8  1207.0  3669.3   6907.1     6927
read      302.5   160.1    80.4   137.3   152.9   275.1   339.9   380.9   408.6   441.0   481.9   542.5   705.7  1817.4  3738.6  52918.3    52892
read      277.9   222.5    74.4   131.5   146.5   242.7   294.8   324.1   347.3   375.4   412.0   471.1   920.5  3162.5  7155.7  98938.3    98921
read      260.4   111.5    80.4   130.9   145.1   246.3   298.6   324.4   345.0   368.9   396.7   436.0   521.0   692.8  2850.9  61066.9    61129
read      272.0   103.3    80.4   141.0   156.6   265.5   309.5   333.4   351.7   372.3   397.2   433.3   508.5   671.8  2146.0  40625.9    40613
read      267.8   107.8    80.4   135.1   149.8   255.9   306.9   333.5   353.9   376.8   403.5   444.5   528.1   690.0  2018.5  53295.9    53226
read      271.3   100.3    80.4   142.0   157.7   265.7   308.1   330.1   346.7   367.9   393.3   430.3   506.7   686.9  2816.0  38620.5    38560
read      263.0   122.5    80.4   132.9   148.1   243.3   293.4   320.5   342.3   368.1   400.0   450.1   568.6  1176.6  3102.5 103558.7   103465
read      265.6   129.8    74.4   133.5   148.8   244.1   294.7   322.7   345.1   371.7   404.0   456.3   586.0  1386.6  3805.0 104873.4   104758
read      264.6   125.0    80.4   132.7   147.7   243.4   295.3   323.4   345.9   372.9   405.8   457.2   579.0  1147.0  3231.2  94770.7    94759
read      270.3   108.3    80.4   143.1   158.9   265.8   306.4   327.2   343.8   363.9   388.4   425.0   503.6   671.8  2019.7  37647.3    37799
read      235.5    83.1    93.8   159.4   172.2   228.5   250.3   263.2   272.1   284.1   298.6   326.6   403.0   789.4  3018.7   8306.0     8296
read      260.3   112.0    80.4   130.5   144.7   242.9   296.9   323.8   345.1   370.4   399.9   444.2   536.6   754.9  3354.1  69324.3    69443
read      256.1   561.7    86.8   159.0   174.3   243.6   269.5   284.4   294.8   308.6   326.0   361.4   433.6   734.7 38488.0  12545.5    12517
read      272.1   105.0    74.4   140.7   156.2   264.9   309.9   333.6   351.5   372.6   397.9   434.9   512.6   693.2  2945.6  43545.1    43591
read      265.4    93.8    93.8   154.9   171.9   261.0   291.8   308.6   319.8   337.6   360.3   394.3   466.0   722.6  2875.8  20461.6    20430
read      258.0   119.0    74.4   130.1   144.4   236.6   289.1   316.9   339.1   365.9   398.4   447.4   550.2  1005.0  2922.4  93565.4    93758
read      243.1    84.2    93.8   159.2   173.5   235.7   260.0   273.2   284.1   295.8   313.5   344.8   423.5   773.2  3891.0  10527.8    10485
read      255.1    80.3    86.8   153.4   169.8   249.3   277.8   293.8   305.8   319.2   342.5   377.6   455.4   729.1  2393.9  16539.1    16518
read      267.4   129.5    80.4   132.8   147.6   245.2   299.0   328.8   352.3   380.2   414.4   464.9   587.0  1244.0  3078.2  83240.0    83230
read      237.3   111.0    93.8   159.9   171.8   228.2   250.6   264.2   273.5   286.6   302.9   333.3   422.5  1071.7  3467.2   5454.9     5484
read      266.9   112.9    80.4   134.5   149.3   254.5   305.3   331.2   350.9   373.8   402.1   445.6   535.0   708.3  2465.6  55588.6    55611
read      258.4    85.9    86.8   153.6   170.3   255.5   283.1   297.2   308.8   320.5   341.8   375.1   461.4   725.0  3191.0  20802.2    20774
read      265.4   126.1    74.4   133.3   148.4   245.4   296.6   324.4   346.0   372.2   404.2   456.4   579.8  1166.0  3266.2  96582.3    96726
read      268.8    96.2    80.4   145.0   161.1   265.2   302.2   320.4   336.5   355.1   378.6   415.0   498.1   702.1  2800.9  32515.3    32442
read      260.8   117.3    74.4   130.3   144.4   242.0   296.6   324.7   346.7   372.4   403.1   450.2   545.0   792.7  2007.3  73010.9    73039
read      258.3   110.2    74.4   129.3   143.2   239.6   293.7   320.8   343.0   368.8   399.3   445.4   541.0   786.5  2459.0  73950.3    74055
read      266.7   104.9    80.4   135.0   149.8   256.4   305.5   330.8   350.2   372.3   399.1   438.3   527.2   696.4  2360.6  51208.4    51197
read      265.2   108.7    80.4   132.9   147.5   250.4   303.6   331.1   352.3   376.3   404.6   448.2   533.9   720.6  2784.4  59462.6    59442
read      273.2   130.2    80.4   143.6   159.6   266.8   307.4   328.7   345.4   366.1   391.4   429.5   514.9   843.5  4625.6  35638.6    35654
read      257.8   114.9    74.4   128.7   142.6   237.7   292.4   320.3   342.7   369.1   400.6   448.1   544.1   794.7  2787.8  78792.3    78747
read      266.8   101.1    80.4   138.2   153.2   260.8   304.9   326.8   344.1   365.1   390.6   427.9   506.0   652.5  1893.2  42281.9    42212
read      265.3   106.3    74.4   133.3   148.3   254.7   304.9   329.9   348.8   371.6   398.6   436.7   522.0   700.8  2652.8  52531.7    52488
read      267.7    96.7    80.4   140.7   156.4   263.4   304.3   324.5   341.0   361.0   386.1   422.9   499.0   633.3  1969.0  36996.4    36950
read      258.7    89.8    93.8   158.5   175.1   253.2   281.1   296.2   308.1   320.5   341.7   375.1   451.9   764.4  2922.6  16776.8    16762
read      261.2   114.5    80.4   130.8   145.2   241.8   296.5   324.8   346.7   373.4   404.1   451.2   545.3   788.9  2076.4  79409.9    79473
read      265.4   111.1    80.4   132.7   147.3   250.1   304.5   332.4   353.5   377.4   405.2   448.8   532.8   718.7  2666.1  61467.9    61431
read      259.7   114.9    74.4   130.4   144.7   239.3   293.1   320.8   343.0   369.2   401.0   449.7   549.4   894.7  2874.4  87123.3    87172
read      264.4   123.3    74.4   133.2   148.8   244.5   294.5   321.5   343.1   369.2   401.6   452.2   571.5  1308.3  3259.2 108295.1   108181
read      260.4   118.8    74.4   130.3   144.5   240.6   294.9   322.7   344.3   370.4   401.9   450.4   549.7   867.2  2837.8  80379.3    80515
