#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      254.0   101.2    86.8   152.0   166.7   241.2   276.1   296.3   311.7   329.5   353.0   391.1   474.9   788.3  3406.2  29941.5    30000  1777812224300  1777812234444
read      235.9    90.1    93.8   153.4   165.8   225.6   252.9   269.0   280.7   294.6   314.2   344.6   422.6   735.8  3581.5  30024.6    30005  1777812235956  1777812246079
read      263.1    94.6    93.8   161.0   176.3   252.6   286.1   305.1   318.6   336.3   358.8   394.3   475.1   847.1  3418.8  29947.7    30010  1777812247592  1777812257697
read      260.4    97.6    86.8   152.6   168.8   250.2   285.7   305.6   319.6   337.6   360.4   395.7   475.1   763.4  3584.1  29994.9    30015  1777812259210  1777812269312
read      256.8    95.7    86.8   156.9   173.2   246.4   278.5   296.6   310.8   326.9   347.9   383.9   462.5   831.8  3358.3  30073.3    30020  1777812270823  1777812280926
read      248.5   101.0    86.8   150.8   165.9   238.1   269.8   288.1   301.3   317.2   338.9   372.0   448.1   698.6  3995.3  30012.4    30025  1777812282439  1777812292538
read      255.2    95.1    86.8   155.3   170.9   244.1   276.7   295.4   309.8   326.2   347.5   384.8   466.6   801.5  3500.7  29964.4    30030  1777812294049  1777812304153
read      237.6    96.4    93.8   152.5   165.1   226.2   253.8   270.5   283.1   297.5   317.6   349.5   432.1  1030.1  3303.2  30077.6    30035  1777812305667  1777812315769
read      234.6    96.8    93.8   150.2   162.6   223.3   251.3   267.9   279.9   294.5   314.5   345.4   424.1  1026.1  3919.3  30099.9    30040  1777812317281  1777812327385
read      230.0    90.9    93.8   149.2   161.0   219.2   246.6   262.7   273.8   288.8   307.7   337.6   411.9   954.3  3867.7  30083.2    30045  1777812328899  1777812339000
read      235.6    86.6    86.8   151.4   163.9   225.0   252.8   269.1   281.1   295.3   315.3   346.3   428.6   815.0  3093.9  30084.6    30050  1777812340513  1777812350613
read      252.6    96.5    93.8   157.5   173.0   242.0   272.6   290.8   304.3   319.7   341.2   374.1   453.1   736.1  4044.7  30089.1    30055  1777812352124  1777812362223
read      236.3    92.2    93.8   150.1   162.9   225.1   253.4   270.2   282.8   297.1   317.6   350.4   430.5   969.6  3388.8  30124.1    30060  1777812363736  1777812373839
read      234.3    94.2    86.8   150.6   163.1   223.0   250.4   266.9   278.6   293.5   313.8   345.9   429.0   903.1  3867.4  30124.1    30065  1777812375351  1777812385451
read      234.1    93.1    93.8   151.6   164.0   222.6   249.7   266.1   277.7   292.6   312.4   343.8   427.0  1004.9  3580.7  30134.9    30070  1777812386963  1777812397064
read      239.0    98.2    93.8   153.5   166.6   228.1   255.6   271.8   284.2   298.1   317.9   349.6   431.4  1013.7  3955.3  30083.7    30075  1777812398575  1777812408674
read      229.6    93.1    86.8   147.0   159.3   219.0   246.3   262.6   274.0   289.1   308.2   338.8   413.6   879.5  4099.4  30121.0    30080  1777812410185  1777812420283
read      231.2    99.4    86.8   147.6   160.1   220.4   248.2   264.7   276.0   291.1   310.2   340.5   417.2   925.1  4112.7  30109.5    30085  1777812421795  1777812431895
read      233.6    90.7    93.8   150.9   163.4   223.4   250.7   266.8   278.2   292.9   312.1   342.0   418.0   827.0  3799.3  30028.5    30090  1777812433408  1777812443508
read      234.9    92.6    93.8   151.3   164.1   224.7   252.2   268.2   279.7   293.7   312.8   342.7   417.4   882.5  3804.7  30079.6    30095  1777812445019  1777812455118
read      234.3    97.4    93.8   150.6   163.0   223.0   251.0   267.7   279.7   294.3   314.1   344.5   420.5   949.8  3892.9  30072.8    30100  1777812456629  1777812466729
read      235.8   110.8    93.8   150.3   163.2   224.4   252.2   268.7   280.7   295.1   315.3   346.7   428.7  1013.8  4723.1  30148.2    30105  1777812468240  1777812478339
read      235.5    89.1    93.8   149.3   162.0   224.4   252.8   269.6   282.1   296.6   317.1   350.1   433.6   920.8  3347.2  29995.6    30110  1777812479854  1777812489953
read      235.6    95.6    93.8   150.8   163.4   224.3   252.4   269.2   281.4   295.8   316.0   346.8   428.6   871.5  3865.2  30105.3    30115  1777812491465  1777812501565
read      228.6    96.8    86.8   148.0   160.2   218.3   244.8   260.3   271.4   285.6   303.8   334.1   410.3   947.8  3765.6  30110.6    30120  1777812503076  1777812513176
read      234.5    92.7    93.8   149.7   162.3   223.4   251.1   267.6   279.3   293.9   313.9   345.4   430.4  1055.4  3590.9  30131.7    30125  1777812514689  1777812524786
read      255.1    97.2    86.8   155.1   170.4   243.8   276.9   296.0   310.5   327.2   348.9   385.2   465.0   798.4  3202.2  30126.6    30130  1777812526298  1777812536396
