#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      227.3    87.3    80.4   136.7   150.1   216.6   248.0   265.8   278.2   293.8   314.4   347.0   421.2   729.3  2935.5  30033.3    30000  1778857831662  1778857841748
read      219.2    82.1    80.4   131.6   143.7   205.3   237.9   258.1   272.5   290.0   311.8   345.2   418.2   607.9  2607.4  29987.9    30005  1778857843259  1778857853328
read      217.6    77.5    80.4   130.6   143.0   205.7   236.8   255.9   269.8   286.4   307.4   339.1   403.8   544.8  2560.5  30055.4    30010  1778857854840  1778857864897
read      225.0    88.8    74.4   131.7   144.3   210.8   245.7   266.6   281.8   299.4   321.6   359.4   430.9   641.4  3226.8  30090.0    30015  1778857866410  1778857876466
read      226.2    86.9    74.4   131.7   144.5   212.6   247.7   268.5   283.7   301.5   324.5   361.5   432.1   628.3  2510.8  30026.8    30020  1778857877977  1778857888031
read      223.9    85.1    74.4   131.6   144.2   210.7   245.0   265.1   279.3   296.2   318.5   354.2   425.4   642.9  3071.7  30032.7    30025  1778857889544  1778857899599
read      228.5    86.1    80.4   133.6   146.9   215.6   250.1   270.1   285.1   302.6   325.2   361.9   433.9   681.6  2862.3  30059.1    30030  1778857901112  1778857911167
read      219.8    84.8    74.4   130.7   142.9   207.0   239.7   259.2   273.1   290.1   311.5   344.5   415.2   626.8  3087.3  30051.1    30035  1778857912680  1778857922737
read      217.7    82.8    74.4   131.9   144.8   208.1   236.1   252.8   265.1   278.9   296.9   329.8   409.2   672.8  2856.7  30067.9    30040  1778857924249  1778857934305
read      210.2    93.0    80.4   130.3   141.9   199.0   226.0   241.2   252.4   266.4   284.2   313.8   396.9  1219.3  3514.1  30081.8    30045  1778857935818  1778857945877
read      218.7   125.0    74.4   131.8   144.4   204.5   231.9   247.9   259.6   273.0   292.1   324.0   437.5  1814.2  4744.6  30129.1    30050  1778857947391  1778857957445
read      218.9    92.0    74.4   132.1   145.3   208.4   236.6   253.4   265.9   280.4   299.8   334.1   420.2   646.9  3560.5  30002.0    30055  1778857958958  1778857969015
read      221.6    78.4    80.4   134.7   148.0   212.6   241.2   257.2   269.0   283.2   302.0   335.5   422.0   655.0  2437.7  30045.4    30060  1778857970529  1778857980585
read      213.0    92.4    80.4   133.0   145.0   202.5   229.2   244.2   254.6   268.6   286.7   316.4   405.0   868.8  3528.0  30065.9    30065  1778857982099  1778857992157
read      211.8    83.2    80.4   131.8   143.9   202.4   229.4   244.4   254.8   268.4   285.9   314.5   390.3   648.7  3300.6  30090.1    30070  1778857993669  1778858003724
read      219.3   536.6    74.4   132.3   145.3   208.0   236.2   253.0   265.3   279.1   298.0   330.1   406.3   728.4  2983.4  30084.8    30075  1778858005236  1778858015292
read      218.1    77.0    74.4   133.1   146.2   209.0   236.6   253.0   265.2   278.9   296.8   328.6   402.2   711.8  2651.6  30074.4    30080  1778858016804  1778858026859
read      214.9    80.5    74.4   130.0   142.8   205.5   233.4   249.8   261.8   275.3   294.8   326.8   404.0   576.1  2992.3  30015.5    30085  1778858028371  1778858038429
read      221.4    85.2    74.4   131.4   145.3   211.5   240.9   257.8   270.4   285.7   306.0   340.7   424.6   656.9  2894.4  29993.0    30090  1778858039942  1778858049999
