#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      246.0    95.4    80.4   140.7   155.3   235.4   273.0   293.4   308.1   324.5   345.4   380.1   460.4   690.1  3384.7  29919.3    30000  1778452519300  1778452529452
read      247.6   101.6    80.4   142.3   156.4   235.1   273.1   293.8   308.8   326.0   348.3   385.7   473.5   978.7  3603.0  29979.9    30005  1778452530967  1778452541103
read      251.8   117.6    86.8   135.8   149.6   229.1   278.0   307.6   328.2   352.0   381.8   426.1   517.6   913.8  3715.8  29939.9    30010  1778452542619  1778452552726
read      257.6   124.1    80.4   136.9   150.3   234.0   285.4   315.1   336.4   361.0   391.3   435.4   542.1  1181.9  4251.4  29929.8    30015  1778452554240  1778452564345
read      257.2   121.8    80.4   136.5   149.7   234.4   287.0   317.2   338.8   363.6   393.7   436.0   530.8   858.5  3844.1  30017.1    30020  1778452565859  1778452575962
read      248.8   122.5    86.8   135.7   148.4   226.5   275.2   304.5   324.3   347.0   375.6   419.7   510.7   902.2  3713.8  30013.5    30025  1778452577476  1778452587580
read      242.1   124.3    86.8   135.4   148.4   220.1   265.3   293.2   313.0   335.3   362.1   400.4   482.6   886.0  4552.7  30026.1    30030  1778452589096  1778452599200
read      244.0   101.2    80.4   133.3   146.3   223.4   270.7   298.4   317.9   340.5   368.1   408.7   497.6   748.5  2763.5  30073.4    30035  1778452600715  1778452610820
read      251.4   127.1    80.4   134.7   148.3   228.5   277.1   306.3   326.9   350.3   379.0   422.7   522.0  1322.8  3839.0  30025.8    30040  1778452612335  1778452622436
read      244.3    94.6    86.8   141.1   154.3   231.3   270.1   291.4   306.6   323.5   346.1   383.7   469.6   821.7  2933.8  30063.0    30045  1778452623948  1778452634050
read      243.6    92.9    80.4   142.5   157.0   231.9   268.0   288.1   302.5   319.1   341.3   374.8   461.7   695.9  2988.6  30131.5    30050  1778452635565  1778452645672
read      245.0   135.0    80.4   138.7   152.4   225.9   264.4   286.9   303.3   322.7   349.4   395.5   510.4  1882.9  4848.9  30059.5    30055  1778452647186  1778452657287
read      240.2   120.4    86.8   137.4   150.4   221.4   259.2   281.6   298.1   318.3   345.8   392.9   499.6  1537.2  3941.1  30028.9    30060  1778452658800  1778452668901
read      243.3   112.4    80.4   140.7   155.0   228.6   266.4   287.7   302.9   320.2   343.3   380.8   471.3  1068.9  3825.1  30087.2    30065  1778452670415  1778452680518
read      234.8    99.1    86.8   141.6   153.9   221.3   256.3   275.9   290.5   307.4   328.8   363.3   441.0   737.3  4009.2  30034.5    30070  1778452682031  1778452692135
read      230.1   106.3    86.8   140.7   153.2   217.2   249.5   268.0   281.1   296.1   316.3   346.2   425.3  1108.7  3936.4  30036.0    30075  1778452693648  1778452703750
read      241.2    94.2    80.4   141.6   155.0   227.9   265.1   285.9   300.7   318.1   341.1   375.6   462.0   760.3  2953.5  30062.5    30080  1778452705263  1778452715366
read      241.8   108.1    80.4   140.2   154.0   228.8   265.9   286.2   300.3   317.3   339.9   374.1   463.7   839.5  3768.7  30081.7    30085  1778452716880  1778452726983
read      260.8   215.5    86.8   140.0   152.3   220.5   256.0   276.7   293.0   314.5   347.9   480.3  1007.6  2789.2  4501.5  30151.9    30090  1778452728497  1778452738599
read      315.4   327.5    86.8   143.1   156.2   228.5   269.5   296.8   323.8   382.0   536.8   790.7  2218.1  3139.1  4346.3  30132.1    30095  1778452740115  1778452750264
read      327.2   374.0    80.4   140.8   153.2   225.5   269.0   301.0   335.2   413.5   581.1   851.5  2360.8  3512.4  6670.0  30150.7    30100  1778452751780  1778452762019
read      281.0   222.0    80.4   145.0   160.3   245.3   287.7   312.9   332.8   358.9   397.9   482.8   917.3  3336.6  6204.7  30178.9    30105  1778452763537  1778452773771
read      263.4   118.9    86.8   150.6   165.5   245.1   284.0   307.5   325.1   347.3   378.3   429.1   558.7  1008.9  4229.9  30166.9    30110  1778452775287  1778452785478
read      243.3    96.9    86.8   142.9   156.7   229.9   266.8   287.6   302.5   319.9   343.5   381.0   464.4   739.9  3298.4  30208.1    30115  1778452786992  1778452797094
