#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      291.3   168.6    86.8   159.5   176.2   256.2   294.2   318.8   340.4   371.0   425.0   535.3   894.2  2094.8  4016.9  29900.6    30000  1778761004707  1778761014926
read      364.2   371.9    86.8   161.1   179.4   272.0   322.8   366.3   409.9   477.8   596.9   854.0  1871.5  4879.9  7946.9  29972.0    30005  1778761016444  1778761026569
read      339.0   294.0    93.8   161.2   178.2   265.3   312.0   348.0   387.0   447.5   544.4   761.8  1572.7  3294.3  6805.7  30001.0    30010  1778761028088  1778761038192
read      362.0   347.6    86.8   159.3   178.6   270.3   321.7   367.6   415.5   489.7   607.2   847.1  1840.3  4244.2  6635.0  29972.3    30015  1778761039708  1778761049813
read      340.5   285.1    93.8   160.6   177.2   264.6   312.5   352.3   394.6   462.6   571.2   782.3  1528.8  3056.8  6246.0  30044.7    30020  1778761051331  1778761061432
read      371.0   426.3    86.8   151.9   169.7   260.2   313.8   362.0   415.5   500.0   639.0   930.9  2077.9  5505.0  9747.5  29986.3    30025  1778761062950  1778761073048
read      309.3   176.0    86.8   165.0   185.2   275.0   316.4   342.9   366.1   398.7   454.0   561.9   901.7  2024.6  4749.0  30001.4    30030  1778761074563  1778761084664
read      273.1   166.3    86.8   149.7   165.7   246.9   284.6   307.4   324.8   347.4   385.1   457.8   703.3  2342.0  4965.9  30154.6    30035  1778761086181  1778761096281
read      253.7   118.8    93.8   141.8   154.5   230.7   271.3   295.6   314.4   337.9   371.8   435.0   601.8  1321.2  3338.4  30071.7    30040  1778761097796  1778761107895
read      252.2   123.3    93.8   143.3   155.6   230.7   270.4   293.8   312.3   335.0   366.6   422.8   564.4  1441.9  4005.5  30096.5    30045  1778761109410  1778761119514
read      265.2   152.0    86.8   143.3   156.3   236.7   279.6   305.3   324.9   350.9   390.9   465.0   709.6  1900.9  4394.0  30092.7    30050  1778761121029  1778761131130
read      273.7   207.1    86.8   144.3   157.3   233.1   273.4   298.9   320.3   350.1   400.9   507.3   899.6  3054.9  6125.1  30065.4    30055  1778761132647  1778761142749
read      253.4   141.4    93.8   142.1   154.3   228.5   268.1   291.5   309.9   333.1   366.9   433.1   629.6  1888.4  4361.0  30114.6    30060  1778761144266  1778761154370
read      252.7   149.7    93.8   140.4   152.5   224.2   262.6   286.1   304.3   328.1   366.1   448.5   713.0  1902.1  4279.7  30050.1    30065  1778761155888  1778761165991
read      267.3   148.4    86.8   146.1   160.2   240.1   282.1   307.9   327.4   352.6   391.6   464.5   688.7  1975.2  4039.4  30207.7    30070  1778761167506  1778761177606
read      270.1   165.3    93.8   145.5   159.3   240.2   283.4   309.3   329.4   356.1   395.4   469.8   734.3  2340.8  5253.6  30053.7    30075  1778761179121  1778761189221
read      259.7   140.2    86.8   142.6   156.1   235.5   277.4   302.0   320.5   344.3   378.4   440.0   620.7  1765.6  4893.6  30056.2    30080  1778761190739  1778761200842
read      276.9   189.2    86.8   144.8   159.2   242.3   286.8   314.2   336.2   365.6   411.3   502.3   810.9  2249.0  6745.8  30043.9    30085  1778761202359  1778761212462
read      260.2   120.1    93.8   149.9   164.8   243.0   278.6   299.4   315.7   336.3   365.4   420.0   561.8  1371.9  4131.1  29989.5    30090  1778761213977  1778761224076
read      261.6   121.6    86.8   154.5   170.4   245.0   278.1   297.2   313.1   332.4   360.6   416.0   561.2  1294.3  4210.9  30158.4    30095  1778761225592  1778761235697
read      253.7   115.6    86.8   152.3   167.5   240.0   271.9   290.0   303.3   319.5   343.6   389.3   519.0  1167.8  4379.7  30162.1    30100  1778761237210  1778761247309
read      239.1   109.4    86.8   144.7   157.8   222.7   252.4   270.2   283.9   300.5   325.8   378.4   545.3  1267.0  3612.5  30075.1    30105  1778761248823  1778761258928
read      248.8   142.5    93.8   148.6   161.8   230.1   261.8   280.6   294.7   313.5   340.8   398.2   568.6  1462.3  6179.2  30122.8    30110  1778761260445  1778761270549
read      238.6   134.6    93.8   145.1   157.7   221.3   250.8   268.3   281.4   297.1   320.6   366.4   522.0  2034.3  4346.5  30182.6    30115  1778761272064  1778761282168
read      253.6   109.6    86.8   152.5   167.3   238.3   270.3   288.9   302.8   319.9   345.5   396.1   538.3  1079.4  4009.3  30067.2    30120  1778761283683  1778761293785
read      257.3   111.2    86.8   151.7   167.2   241.9   274.7   294.0   309.3   328.1   356.1   408.4   549.1   973.9  3381.2  30118.1    30125  1778761295301  1778761305400
read      251.4   104.3    93.8   150.7   164.6   235.0   267.9   286.8   300.8   319.2   345.8   398.4   547.6  1182.4  3164.3  30117.5    30130  1778761306914  1778761317014
read      246.3   141.0    93.8   150.2   163.2   228.2   258.2   275.4   289.7   307.4   333.5   386.9   557.7  1522.3  6113.9  30254.0    30135  1778761318532  1778761328637
read      249.8   119.9    86.8   150.5   164.5   233.9   265.7   284.0   297.0   314.9   339.5   387.9   533.9  1360.3  4157.9  30085.0    30140  1778761330152  1778761340253
read      247.5   131.4    93.8   150.3   163.7   229.5   260.2   278.0   292.1   309.9   335.2   387.2   547.9  1762.5  4800.2  30193.7    30145  1778761341768  1778761351868
read      250.1   110.6    93.8   151.2   165.2   233.0   264.8   283.1   296.4   314.4   340.0   394.1   568.7  1216.4  3433.4  30099.3    30150  1778761353384  1778761363486
read      294.8   229.9    93.8   162.2   178.3   254.7   290.4   312.5   330.6   355.7   398.2   506.6  1171.2  3077.6  6364.7  30085.9    30155  1778761365001  1778761375102
read      273.1   129.5    86.8   157.9   175.2   252.5   286.8   307.7   323.2   345.2   380.7   453.9   654.9  1487.1  4455.8  30168.7    30160  1778761376617  1778761386721
