#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      267.6   118.1    93.8   153.1   168.8   251.6   290.1   312.6   329.7   350.1   378.3   425.2   544.2  1218.6  3954.9  29934.2    30000  1778497830789  1778497840962
read      270.4   144.0    93.8   151.4   165.4   245.9   287.3   312.4   332.0   356.5   390.5   449.9   643.1  1856.0  4852.2  30014.5    30005  1778497842476  1778497852620
read      270.4   159.6    93.8   149.6   162.3   238.7   282.0   309.1   330.7   359.1   399.6   479.5   742.1  1842.4  5619.9  29909.7    30010  1778497854134  1778497864246
read      264.4   144.2    93.8   145.2   157.7   234.1   278.7   307.3   329.9   359.1   399.7   471.1   670.3  1542.9  4351.9  29953.5    30015  1778497865760  1778497875874
read      267.8   137.7    93.8   143.4   156.2   236.2   282.2   311.7   336.1   367.8   412.6   493.3   698.5  1329.6  3639.6  30071.7    30020  1778497877388  1778497887502
read      256.0   124.1    93.8   144.2   156.8   231.8   272.4   297.1   317.3   342.6   377.9   439.5   606.5  1189.5  3917.2  30167.9    30025  1778497889016  1778497899129
read      265.9   144.7    93.8   146.4   159.3   236.5   280.4   308.2   330.1   359.0   399.4   475.6   675.1  1380.1  4028.4  30149.1    30030  1778497900645  1778497910764
read      264.5   117.6    93.8   147.7   160.9   238.4   282.0   309.1   330.3   357.7   395.9   465.9   641.5  1039.6  3096.3  30078.6    30035  1778497912278  1778497922390
read      253.1   121.9    93.8   146.2   158.8   231.4   270.3   293.5   311.4   333.5   364.0   416.2   592.8  1265.6  4534.8  30046.0    30040  1778497923904  1778497934020
read      252.2   106.8    93.8   150.0   163.0   234.8   271.3   292.9   309.6   329.9   357.0   399.6   519.8  1245.3  3231.3  30050.1    30045  1778497935533  1778497945647
read      256.1   123.0    93.8   151.8   165.5   239.1   274.9   295.9   312.1   331.5   357.8   400.3   505.7  1956.8  4243.7  30133.0    30050  1778497947159  1778497957270
read      244.5   160.1   101.3   151.4   163.5   225.0   254.3   271.8   285.5   301.9   325.2   369.0   500.1  2581.1  5489.3  29976.9    30055  1778497958783  1778497968899
read      234.8   116.0   101.3   151.2   163.0   221.7   248.5   264.2   274.9   289.5   308.4   340.8   456.7  1705.7  4209.8  30029.7    30060  1778497970412  1778497980527
read      244.0   104.8    93.8   151.9   164.4   229.0   260.4   278.5   292.6   310.6   335.5   378.4   486.4   941.3  4070.2  30064.2    30065  1778497982042  1778497992160
read      261.7   109.3    93.8   156.4   171.0   245.9   282.0   303.2   318.7   338.8   365.2   407.5   525.7  1123.1  3989.2  30186.0    30070  1778497993674  1778498003790
read      244.0   101.1   101.3   154.9   167.6   230.6   259.9   276.4   289.6   305.1   325.7   364.3   494.7   954.3  4106.6  30066.9    30075  1778498005303  1778498015418
read      237.7    99.7   101.3   153.3   165.4   225.5   252.9   269.1   281.0   295.2   315.6   350.7   464.0  1007.0  4039.9  30154.8    30080  1778498016936  1778498027050
read      232.3    89.8    93.8   150.9   162.7   221.3   247.8   263.3   274.0   288.8   308.0   341.2   450.4   843.5  3201.3  30161.1    30085  1778498028565  1778498038676
read      255.1    99.9   101.3   156.5   170.4   240.0   272.8   292.1   307.0   324.9   350.8   396.2   517.6  1023.9  3179.3  30091.3    30090  1778498040189  1778498050304
read      255.6   112.8    93.8   152.1   165.9   239.3   275.4   296.7   313.0   332.5   359.0   401.0   507.1  1212.9  4115.2  30128.2    30095  1778498051816  1778498061929
read      262.2   107.9    93.8   154.3   169.0   245.4   283.4   305.8   322.0   343.1   370.9   417.4   530.3  1007.8  3609.3  30054.8    30100  1778498063442  1778498073555
read      273.2   107.9    93.8   160.2   176.0   259.1   296.6   318.4   335.3   355.1   380.5   424.4   539.9  1072.9  3230.2  30189.4    30105  1778498075068  1778498085181
read      264.4    97.6   101.3   162.1   176.8   251.4   285.8   305.8   320.3   339.7   364.7   402.7   501.8   834.6  3260.2  30132.0    30110  1778498086694  1778498096807
