#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      284.2   119.4    93.8   163.2   179.0   267.9   310.3   335.1   353.3   374.4   403.0   450.9   564.5  1060.1  4098.3  29936.4    30000  1778616286774  1778616296927
read      308.5   191.4    93.8   162.3   178.8   276.6   326.9   357.3   379.6   406.1   443.5   509.0   907.6  2419.0  6021.0  29911.4    30005  1778616298441  1778616308567
read      301.4   175.7    93.8   157.5   172.3   264.0   317.9   352.5   379.0   412.5   459.5   546.0   824.1  2045.3  4822.8  30030.1    30010  1778616310081  1778616320182
read      291.9   138.7    93.8   159.8   174.8   267.2   317.6   349.0   372.2   399.5   433.7   489.6   652.9  1232.4  4039.5  30064.9    30015  1778616321697  1778616331798
read      271.3   132.9    93.8   154.0   167.1   246.6   291.0   318.7   340.4   366.3   398.7   450.8   603.6  1576.4  4315.8  30009.5    30020  1778616333311  1778616343421
read      283.3   133.4   101.3   154.9   169.4   258.0   308.7   340.4   364.1   391.3   424.9   476.2   626.5  1100.3  4309.5  30007.0    30025  1778616344934  1778616355032
read      285.2   132.0    93.8   158.1   173.0   260.3   308.9   339.5   362.9   390.1   424.2   477.8   640.2  1118.8  4103.9  30007.5    30030  1778616356544  1778616366643
read      274.5   132.2   101.3   153.6   167.2   250.0   297.0   327.0   349.2   375.2   407.8   459.3   593.2  1152.9  4396.2  30074.4    30035  1778616368156  1778616378258
read      284.6   133.9   101.3   156.3   171.1   260.4   309.9   340.7   363.9   390.5   423.3   471.7   621.5  1211.9  4452.6  30057.1    30040  1778616379771  1778616389869
read      284.7   117.5   101.3   168.1   184.1   268.6   309.1   333.1   350.9   372.7   401.0   446.3   549.9   987.9  4314.7  30057.8    30045  1778616391382  1778616401488
read      262.8   109.6   101.3   157.1   170.9   246.0   284.3   306.5   322.6   343.7   371.9   416.2   511.4  1171.2  3912.6  30108.8    30050  1778616402999  1778616413101
read      259.4   152.4   101.3   155.7   169.0   239.9   275.3   295.7   311.3   329.8   355.0   397.6   520.6  2241.2  5538.0  30016.4    30055  1778616414613  1778616424714
read      270.3   131.1    93.8   157.7   172.2   251.9   292.0   315.3   333.2   354.8   383.9   430.2   539.9  1545.3  4506.2  30071.9    30060  1778616426226  1778616436324
read      273.7   118.9    93.8   155.2   170.1   256.3   299.2   324.1   343.1   366.3   395.7   439.7   543.9  1140.8  4060.1  30191.2    30065  1778616437838  1778616447936
read      273.8   121.3    93.8   161.6   175.7   254.9   294.3   317.8   336.2   358.7   388.9   436.0   566.1  1341.1  4141.0  30018.9    30070  1778616449449  1778616459549
read      261.5   109.3   101.3   157.2   170.8   244.7   281.5   302.9   318.7   339.4   367.5   414.0   534.1  1091.6  3232.0  30016.1    30075  1778616461062  1778616471160
read      268.9   123.1   101.3   158.4   172.6   249.5   288.3   311.2   328.6   350.3   380.9   431.4   576.6  1299.0  4306.4  30186.5    30080  1778616472673  1778616482772
read      285.1   127.7    93.8   164.0   180.0   266.9   308.9   333.8   352.3   374.5   403.7   453.4   576.3  1513.9  4151.2  30068.0    30085  1778616484284  1778616494396
read      279.9   114.8   101.3   164.0   178.7   259.5   301.1   326.5   345.7   369.9   401.4   455.6   591.3  1105.9  3231.9  30030.9    30090  1778616495908  1778616506009
read      299.3   119.3    93.8   167.3   185.6   283.3   330.1   356.9   376.1   399.2   428.7   473.3   589.7  1057.3  3150.5  30045.9    30095  1778616507523  1778616517623
read      287.5   119.7   101.3   167.3   184.0   272.1   313.4   337.6   355.6   376.2   403.4   449.4   552.7  1126.9  4178.9  30036.7    30100  1778616519137  1778616529237
