#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      237.7    92.6    93.8   150.2   163.3   227.4   256.4   272.9   286.0   300.8   320.3   352.9   431.7   660.7  3599.7  30049.4    30000  1778359774433  1778359784570
read      235.1   106.8    93.8   147.8   159.2   221.8   252.1   270.3   284.1   300.0   320.4   353.7   433.7  1319.8  4312.6  30040.0    30005  1778359786082  1778359796201
read      235.3    89.9    93.8   148.4   159.3   223.0   254.7   273.2   287.5   304.0   324.6   356.6   428.2   684.6  3381.1  29967.5    30010  1778359797714  1778359807815
read      220.0    90.5    93.8   140.1   150.1   206.7   236.3   254.4   268.1   284.3   305.3   336.4   399.0   771.3  3661.7  29939.6    30015  1778359809328  1778359819426
read      226.3    85.8   101.3   144.0   154.2   213.1   244.2   263.2   277.0   293.9   315.2   345.5   410.1   640.2  2948.4  29999.8    30020  1778359820939  1778359831039
read      226.2    88.4    93.8   141.4   151.9   212.9   245.1   264.4   278.0   294.8   315.7   345.8   415.0   684.0  3125.8  29997.3    30025  1778359832554  1778359842657
read      231.7    85.8    93.8   143.6   154.5   218.8   252.1   271.5   286.0   302.6   322.9   356.4   429.1   734.1  2795.5  30008.8    30030  1778359844169  1778359854268
read      230.7   106.5    93.8   144.8   155.8   217.4   248.5   267.0   280.3   296.0   316.4   345.8   420.8  1102.5  4738.5  30090.7    30035  1778359855781  1778359865881
read      227.2    91.6    93.8   142.4   153.4   214.9   246.2   264.6   277.4   293.7   314.3   344.3   404.4   759.0  3297.9  29965.7    30040  1778359867392  1778359877493
read      231.4    88.5    93.8   145.7   158.4   220.7   249.2   265.9   277.6   292.7   312.6   343.0   427.5   866.0  3198.1  29986.3    30045  1778359879004  1778359889105
read      226.5   118.3    86.8   146.6   158.1   214.4   239.1   253.6   265.0   277.6   295.3   323.9   424.2  1709.0  4827.5  30144.3    30050  1778359890618  1778359900716
read      232.6   149.0   101.3   149.7   160.7   217.6   243.5   258.4   269.6   283.1   300.1   328.5   418.0  2441.8  6049.5  30082.8    30055  1778359902230  1778359912329
read      234.2    98.0    93.8   151.0   163.7   223.5   250.4   266.4   277.6   292.6   312.5   343.9   429.7   704.7  3917.2  30094.6    30060  1778359913841  1778359923941
read      246.5   126.8    93.8   148.8   162.1   228.9   260.8   279.6   294.3   312.9   338.7   387.4   550.1  1295.5  4859.6  30093.0    30065  1778359925453  1778359935552
read      233.7    89.6    93.8   152.1   164.4   224.6   251.3   266.8   277.6   291.5   309.8   338.3   405.9   731.7  3381.8  30106.2    30070  1778359937063  1778359947164
read      221.8    70.5    93.8   151.1   162.1   213.8   236.8   251.1   261.5   273.1   289.6   314.3   371.6   562.9  2692.8  30143.7    30075  1778359948675  1778359958775
read      228.2    88.7    93.8   152.5   164.1   220.0   244.9   259.1   269.3   281.4   296.3   320.5   383.6   657.3  3765.5  30065.1    30080  1778359960288  1778359970388
read      225.4    96.0    93.8   149.1   159.9   215.7   241.3   256.1   267.5   280.4   296.9   324.8   392.5   748.2  3856.7  30126.4    30085  1778359971903  1778359982007
read      228.9    95.8   101.3   149.7   161.5   219.2   245.2   260.2   271.1   285.0   302.6   331.6   402.8   845.9  3838.5  30139.3    30090  1778359983519  1778359993622
read      234.9    84.5    86.8   150.8   163.4   224.8   253.2   270.0   282.5   296.6   316.0   344.8   417.1   654.9  3109.5  30125.1    30095  1778359995133  1778360005237
read      235.3    92.6    93.8   151.1   163.3   225.5   253.0   269.0   280.6   294.4   313.7   343.3   422.3   757.2  3404.8  29992.8    30100  1778360006750  1778360016854
read      227.9    84.0    93.8   142.8   155.3   218.5   247.0   263.2   274.3   289.3   308.3   338.9   417.8   658.2  3352.9  30198.6    30105  1778360018369  1778360028475
