#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      287.1   108.8   101.3   171.4   189.0   276.2   312.2   332.4   346.4   365.8   391.3   433.4   545.4   998.7  4153.2  29988.6    30000  1778591846484  1778591856656
read      288.4   114.1   109.4   175.8   192.7   276.6   311.1   330.8   344.9   364.3   390.1   434.2   551.6  1041.0  4073.6  29950.7    30005  1778591858173  1778591868308
read      284.3   118.8   101.3   172.1   188.6   272.5   308.8   329.0   343.6   362.4   386.7   428.5   541.0   876.8  4267.5  29984.4    30010  1778591869823  1778591879933
read      342.7   144.8    93.8   186.9   210.6   321.0   369.0   398.2   422.6   454.5   498.9   567.8   729.9  1229.7  4582.7  30043.5    30015  1778591881448  1778591891555
read      333.0   150.0   101.3   180.8   203.0   309.5   356.3   384.9   406.8   437.0   482.9   557.7   762.3  1550.6  4487.8  29970.8    30020  1778591893070  1778591903175
read      334.6   149.6   101.3   185.7   207.6   314.5   361.2   388.9   409.8   437.1   475.9   540.8   706.8  1512.0  4988.9  29951.5    30025  1778591904690  1778591914793
read      417.7   321.6   109.4   177.8   197.9   324.4   404.4   467.0   525.1   611.8   746.8   984.4  1594.1  3591.1  6298.2  30038.7    30030  1778591916309  1778591926412
read      495.3   477.8   109.4   178.3   199.6   344.4   448.7   532.3   612.3   737.6   940.3  1445.9  2204.6  5063.5  6557.6  29880.0    30035  1778591927926  1778591938030
read      436.9   349.2   101.3   174.0   193.8   329.9   420.8   495.2   564.7   668.0   817.0  1072.8  1716.8  3769.3  6327.0  30011.4    30040  1778591939543  1778591949648
read      394.3   339.3   101.3   169.4   187.3   301.1   369.0   418.6   465.2   540.9   685.3   977.1  1721.0  3975.9  6445.5  30023.7    30045  1778591951162  1778591961266
read      273.9   136.9   101.3   161.5   175.4   255.0   295.2   318.3   336.0   356.9   384.2   429.7   572.8  1779.4  4862.3  30020.2    30050  1778591962780  1778591972884
read      276.4   128.5   101.3   162.0   176.1   258.1   299.2   322.5   340.2   361.3   388.8   433.9   570.4  1499.1  4295.9  30046.4    30055  1778591974399  1778591984503
read      262.2   112.2   101.3   156.6   169.7   245.2   284.8   307.5   323.5   343.3   369.4   410.5   525.1  1042.4  4108.3  29987.4    30060  1778591986018  1778591996125
read      259.2   100.0   101.3   157.7   170.5   243.7   282.2   304.0   319.3   338.6   363.3   401.1   501.5   851.9  3101.9  30074.8    30065  1778591997640  1778592007743
read      274.0   119.2   101.3   165.4   180.2   261.0   297.1   317.7   333.3   351.1   374.5   415.9   520.6  1117.2  4903.3  29941.7    30070  1778592009256  1778592019365
read      278.2   129.9   101.3   172.2   187.8   265.4   299.3   318.3   333.1   349.7   372.8   414.0   520.8  1334.0  5815.8  30128.9    30075  1778592020879  1778592030983
read      272.9   105.3   101.3   167.8   182.6   260.7   295.2   314.8   329.3   346.0   370.3   410.9   521.9  1102.0  3576.6  30155.1    30080  1778592032496  1778592042601
read      257.4   147.0   101.3   162.6   175.7   241.5   272.3   289.9   302.4   317.3   338.1   372.3   502.3  2357.9  5332.6  30054.5    30085  1778592044116  1778592054218
read      272.8   103.5   101.3   163.7   179.4   259.7   295.7   316.2   331.7   349.8   374.3   420.9   537.8   843.2  3485.4  30041.7    30090  1778592055734  1778592065840
read      278.3   108.4   109.4   169.9   185.9   266.7   301.0   320.2   335.5   352.9   376.2   419.9   533.7   917.7  3884.5  30101.7    30095  1778592067357  1778592077459
read      276.0   106.4   109.4   170.5   186.1   263.6   297.8   317.4   332.1   348.3   371.7   412.8   532.1  1162.2  3964.4  30133.0    30100  1778592078975  1778592089089
read      259.2   106.6   101.3   163.2   176.4   246.2   279.5   297.8   312.1   328.5   349.7   387.1   492.0  1101.4  3638.9  30165.5    30105  1778592090605  1778592100707
read      259.8   111.4    93.8   162.9   176.5   246.8   279.9   298.3   312.2   328.2   348.5   385.2   491.7  1292.4  4012.8  30118.5    30110  1778592102222  1778592112327
read      275.6   107.6   101.3   168.2   183.9   263.3   297.9   317.7   332.9   350.3   373.8   417.8   533.1   927.4  4130.1  30128.0    30115  1778592113843  1778592123947
read      280.1   108.8   101.3   174.4   190.0   267.6   301.0   319.8   334.9   352.1   375.0   419.7   539.6  1017.3  3647.3  30074.5    30120  1778592125463  1778592135570
read      282.7   118.2   101.3   172.6   188.9   270.6   305.9   325.1   340.1   358.6   383.0   426.4   539.8   959.1  4165.9  30104.5    30125  1778592137084  1778592147187
