#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      278.1   103.2   101.3   173.2   189.1   267.1   299.6   318.7   334.0   351.7   375.3   416.0   503.1   841.7  3894.9  29929.4    30000  1778589526058  1778589536214
read      271.2   114.5   101.3   164.2   178.3   255.1   291.1   313.1   330.1   350.8   378.2   423.2   529.6  1189.4  4146.8  30073.7    30005  1778589537730  1778589547860
read      263.9   122.4   101.3   159.4   172.0   244.0   281.2   304.8   322.7   345.4   375.3   422.1   530.8  1592.9  4146.7  30001.0    30010  1778589549374  1778589559476
read      252.9    99.6   101.3   154.5   166.9   235.6   271.3   293.5   311.2   332.7   360.5   401.4   492.5   757.1  3415.4  29954.9    30015  1778589560990  1778589571091
read      271.2   114.7   101.3   162.6   176.1   252.8   292.4   317.2   336.0   358.5   387.6   431.0   531.6   935.7  4054.5  30056.7    30020  1778589572606  1778589582709
read      266.2   114.8   101.3   163.2   176.7   248.9   285.0   307.5   324.5   345.8   373.5   417.7   512.8   967.0  4397.0  30007.4    30025  1778589584223  1778589594326
read      261.7   104.2   101.3   161.7   174.4   244.8   280.4   302.7   319.5   341.0   368.6   410.7   506.9   860.5  3933.8  30027.7    30030  1778589595841  1778589605944
read      256.9   105.5   101.3   160.6   172.8   240.9   274.8   295.9   312.6   332.5   358.4   399.1   496.3   922.7  3289.6  29890.0    30035  1778589607457  1778589617564
read      270.1   120.6   101.3   163.2   177.1   253.3   290.7   313.6   331.1   351.8   379.3   423.3   524.5   960.4  4232.6  30070.6    30040  1778589619081  1778589629184
read      271.0   106.2   101.3   168.7   183.6   257.2   289.9   309.7   324.4   343.7   370.2   414.4   514.8   923.1  4191.4  30058.5    30045  1778589630700  1778589640802
read      259.9   157.5   101.3   164.4   177.0   240.7   270.0   287.3   299.8   316.4   339.8   381.1   524.1  2419.3  5534.6  30093.7    30050  1778589642320  1778589652423
read      256.2   143.5   109.4   163.6   176.5   241.1   270.1   287.0   299.1   315.3   337.6   374.6   493.8  1953.8  5702.4  29952.5    30055  1778589653938  1778589664039
read      271.5   107.3   101.3   167.0   181.8   257.1   290.8   311.0   326.1   345.4   372.5   417.9   529.6  1016.4  4028.8  30134.3    30060  1778589665556  1778589675658
read      262.7   102.1   101.3   162.6   176.7   249.3   282.1   301.6   316.5   335.4   360.7   400.6   498.2   999.9  3767.0  30032.5    30065  1778589677173  1778589687281
read      265.5   121.9   101.3   166.1   180.1   250.4   282.3   301.1   315.9   334.6   360.0   402.7   526.9  1113.0  5015.0  30100.6    30070  1778589688797  1778589698903
read      255.9   100.9   101.3   165.4   178.6   243.5   272.9   290.6   303.8   319.4   341.9   377.4   471.0   903.5  4142.2  30015.0    30075  1778589700419  1778589710521
read      252.6    87.8   101.3   160.2   173.6   240.6   271.3   289.6   303.3   319.7   342.7   380.1   471.7   718.0  3013.0  30070.9    30080  1778589712036  1778589722142
read      257.7   105.0   101.3   163.0   176.4   243.9   274.3   293.2   307.7   324.4   346.9   388.6   501.4  1007.6  4067.3  30100.3    30085  1778589723657  1778589733757
read      291.0   162.4    93.8   165.3   180.8   261.2   299.7   323.9   343.3   368.9   406.6   492.7   845.5  2049.8  4276.0  30078.6    30090  1778589735278  1778589745380
read      296.8   152.0   101.3   171.7   187.6   266.3   305.8   330.9   350.0   375.9   418.4   505.9   858.6  1801.4  3669.8  30076.4    30095  1778589746898  1778589757003
read      291.7   155.7   101.3   170.2   186.6   266.8   304.7   327.9   345.6   369.4   402.9   473.5   738.9  1917.5  5397.5  30148.8    30100  1778589758520  1778589768625
read      326.9   264.3   101.3   166.2   184.0   277.1   323.6   354.2   379.1   414.6   472.5   615.8  1190.6  3594.9  7907.5  30073.9    30105  1778589770143  1778589780270
read      403.8   381.7   109.4   180.1   199.2   303.7   364.5   411.3   457.1   530.3   673.9   968.2  1989.5  4131.3  9311.1  30187.9    30110  1778589781796  1778589791913
