#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      243.4    97.6    93.8   152.4   165.4   232.1   262.4   279.5   292.5   308.2   328.3   363.2   454.2   821.5  3763.2  30048.7    30000  1778359086499  1778359096642
read      235.2    86.4    93.8   143.9   157.3   223.7   253.7   271.6   285.4   301.3   321.5   358.4   451.8   709.5  3010.8  29945.1    30005  1778359098155  1778359108277
read      241.8   122.9    93.8   146.9   158.0   223.5   258.1   279.0   295.0   314.4   338.7   374.6   499.7  1548.8  5134.1  29950.9    30010  1778359109789  1778359119888
read      229.3    95.0    93.8   143.4   153.6   214.2   246.8   266.7   281.5   299.4   321.4   355.4   431.2   918.4  3337.2  29968.3    30015  1778359121399  1778359131499
read      231.7    92.7    93.8   144.5   155.5   218.7   251.0   270.3   284.6   300.9   320.5   353.1   426.3   717.0  3630.3  30004.6    30020  1778359133011  1778359143112
read      223.9    96.8    93.8   142.6   152.6   210.2   240.9   259.9   273.6   290.5   311.3   341.0   402.3   762.0  3851.9  30011.6    30025  1778359144624  1778359154728
read      242.7   133.3    93.8   144.7   156.2   222.2   256.6   277.2   293.0   311.6   335.6   374.7   548.1  1899.3  4336.6  30051.9    30030  1778359156241  1778359166340
read      233.2   101.2    93.8   139.8   151.6   217.3   251.0   270.9   286.1   304.1   327.9   370.4   497.1   740.1  3327.9  30039.7    30035  1778359167853  1778359177951
read      236.3   106.1    93.8   142.9   155.2   220.8   253.6   273.0   288.1   305.6   328.1   369.8   500.9   934.3  4078.1  29939.8    30040  1778359179463  1778359189564
read      236.6    98.2    93.8   142.9   155.8   222.7   253.7   272.1   286.4   303.2   325.4   369.1   497.6   904.9  3528.2  30062.0    30045  1778359191077  1778359201176
read      233.5    96.9    93.8   149.3   161.6   222.0   250.5   267.4   279.7   294.7   314.9   345.9   429.4   722.1  3583.7  30004.3    30050  1778359202688  1778359212787
read      224.3   110.2    93.8   145.4   156.4   211.5   236.9   252.3   263.9   276.7   294.9   324.0   423.0  1627.6  4440.2  30147.6    30055  1778359214299  1778359224401
read      218.1    83.2    86.8   142.8   153.7   208.4   234.0   249.2   260.1   272.7   290.0   316.2   387.9   780.2  2991.3  30091.4    30060  1778359225914  1778359236013
read      223.1    84.3    93.8   145.3   156.2   212.2   238.9   254.9   267.4   281.7   300.5   331.9   402.5   580.3  3161.8  30117.2    30065  1778359237525  1778359247628
read      228.2    86.6    93.8   146.4   158.4   218.5   245.9   261.9   273.0   287.5   306.0   336.2   411.5   672.5  3525.1  30137.9    30070  1778359249140  1778359259261
read      226.6   103.1    93.8   151.0   162.2   216.8   242.1   256.6   268.0   280.8   296.6   321.9   387.5   826.0  4840.6  30036.5    30075  1778359260773  1778359270885
read      225.8    91.9    93.8   152.0   163.4   217.1   241.6   255.6   266.4   278.2   294.3   319.2   385.8   636.7  3198.2  30133.5    30080  1778359272397  1778359282506
read      231.9    93.9   101.3   152.8   164.6   222.4   248.6   263.9   274.2   288.4   305.8   332.5   397.5   751.5  4262.3  29902.4    30085  1778359284019  1778359294133
read      227.7    89.7    93.8   150.7   162.0   218.1   243.9   259.0   270.1   283.6   300.4   328.9   399.5   754.7  3382.0  30103.0    30090  1778359295648  1778359305771
read      231.5    97.0    93.8   153.6   165.3   222.0   247.1   261.5   271.7   285.1   302.0   329.9   402.7   938.1  4249.1  30006.7    30095  1778359307287  1778359317389
read      236.1    92.5    86.8   149.0   161.4   224.8   254.2   271.4   284.2   298.8   319.3   352.7   434.7   800.4  3822.9  30123.5    30100  1778359318902  1778359329007
read      227.0    91.9    93.8   142.1   154.7   216.6   245.2   261.7   273.2   288.4   307.8   339.4   420.8   647.1  3230.3  30053.5    30105  1778359330524  1778359340634
read      236.9    80.0    93.8   151.0   163.9   227.2   255.7   272.1   284.8   299.1   318.7   349.5   427.7   679.8  2557.9  30124.3    30110  1778359342149  1778359352257
read      232.6    91.9    93.8   150.0   162.3   221.8   249.5   266.1   277.8   293.0   312.7   342.7   420.9   730.1  3595.6  30120.7    30115  1778359353770  1778359363870
read      230.8    83.5    93.8   147.0   159.6   221.2   249.0   265.3   276.4   291.3   310.4   341.0   419.5   617.8  3047.1  30143.4    30120  1778359365383  1778359375488
read      238.7    91.3    93.8   150.5   163.3   228.5   257.8   274.2   287.3   302.1   320.7   353.4   434.0   715.9  3231.0  30049.1    30125  1778359377001  1778359387108
