#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      224.3    89.4    74.4   137.3   150.2   210.4   239.4   258.1   272.3   290.5   314.1   351.6   434.2   891.8  3188.2  30020.1    30000  1778867651097  1778867661187
read      235.9    93.7    80.4   140.3   153.5   218.7   254.4   277.4   294.5   314.5   339.5   377.7   455.7   776.2  2933.3  30024.0    30005  1778867662700  1778867672771
read      220.1    79.3    74.4   135.7   147.1   204.4   235.0   255.7   271.8   291.6   316.1   351.3   423.1   580.5  2564.6  30038.3    30010  1778867674284  1778867684340
read      219.9    83.9    74.4   133.8   145.8   204.0   235.0   255.7   271.9   291.0   315.0   349.0   425.3   691.6  2567.6  29965.8    30015  1778867685851  1778867695908
read      219.4    83.2    80.4   133.5   146.2   204.7   234.8   254.7   270.3   289.0   312.3   345.6   419.9   614.0  2903.7  30009.5    30020  1778867697419  1778867707476
read      229.6    84.8    80.4   138.8   151.0   213.4   247.7   269.5   286.0   305.5   330.0   367.0   441.0   679.6  2528.7  29977.0    30025  1778867708988  1778867719045
read      467.1   400.6    80.4   168.5   190.7   337.5   448.0   539.0   620.9   733.6   910.5  1213.4  1895.3  4764.7  6408.3  30053.0    30030  1778867720559  1778867730616
read      407.0   330.9    80.4   166.3   186.9   315.0   401.4   463.6   516.2   588.5   706.2   956.8  1617.4  3687.3  7270.4  30002.3    30035  1778867732128  1778867742186
read      367.8   289.6    74.4   150.0   166.5   278.2   357.6   419.3   474.5   556.3   680.1   901.5  1452.8  2898.7  6069.1  30118.3    30040  1778867743698  1778867753754
read      275.7   122.4    80.4   154.6   171.7   257.4   299.1   323.1   341.7   364.6   395.2   444.0   580.6  1393.2  3937.4  30005.0    30045  1778867755267  1778867765323
read      271.9   116.4    80.4   150.5   167.3   254.4   297.3   321.5   340.2   363.2   393.8   441.1   559.6  1059.4  3982.8  30061.1    30050  1778867766836  1778867776890
read      268.9   108.6    80.4   151.2   167.6   252.0   293.4   317.1   335.3   357.5   387.7   434.3   547.2  1028.1  3546.4  30005.5    30055  1778867778402  1778867788458
read      282.7   198.9    80.4   154.5   171.1   254.9   295.6   320.0   339.0   363.0   395.9   451.5   724.8  3116.9  6413.5  30081.5    30060  1778867789975  1778867800030
read      241.1   137.0    74.4   139.8   153.3   219.7   253.4   274.5   292.0   313.2   341.1   391.6   527.6  2005.8  4975.4  30044.9    30065  1778867801544  1778867811599
read      224.0    94.2    74.4   140.0   152.8   212.1   238.9   255.8   269.1   285.2   306.4   339.5   419.4   962.7  3657.5  30014.9    30070  1778867813111  1778867823169
read      222.7    91.1    68.9   136.9   149.8   209.9   237.7   255.4   269.4   286.4   309.0   343.8   429.2   816.6  3100.5  29947.8    30075  1778867824682  1778867834740
read      214.6    70.7    80.4   139.0   151.1   205.4   229.7   244.3   254.9   269.0   287.6   316.8   387.0   648.1  2598.6  30084.0    30080  1778867836253  1778867846309
read      218.6    85.0    80.4   140.3   152.0   206.8   232.3   248.5   260.9   275.5   296.6   330.9   404.2   737.7  3395.3  30169.8    30085  1778867847822  1778867857879
read      221.1    84.4    80.4   139.6   152.1   210.3   236.1   252.7   265.4   280.3   300.9   333.9   407.3   695.8  3323.9  29967.7    30090  1778867859392  1778867869447
read      229.8    93.9    80.4   145.4   158.5   217.4   245.2   262.3   274.5   291.4   313.0   345.3   424.9   871.2  3379.4  30046.5    30095  1778867870960  1778867881016
